"Gene","logFC","t_statistic","P.Value","FDR","SYMBOL","GENENAME"
"ENSG00000134107",1.15551325909601,8.89149982054788,1.0481777532516e-14,4.02970867668441e-13,"BHLHE40","basic helix-loop-helix family member e40"
"ENSG00000283633",1.08318223095445,8.88774256845509,1.06931591006257e-14,4.08595803524518e-13,NA,NA
"ENSG00000124102",1.96409130805396,8.81471921446082,1.57584828622837e-14,5.7754533105e-13,"PI3","peptidase inhibitor 3"
"ENSG00000011426",1.16576664027199,8.72573089985426,2.52597136001003e-14,8.89425205231194e-13,"ANLN","anillin, actin binding protein"
"ENSG00000099998",1.54436926826625,8.68963796828329,3.05799727111653e-14,1.05894398149436e-12,"GGT5","gamma-glutamyltransferase 5"
"ENSG00000255092",1.49101214499815,8.52884770224188,7.15258100314518e-14,2.29150205675593e-12,NA,NA
"ENSG00000180071",1.35815586391015,8.34909546610203,1.84243794255744e-13,5.4528250847184e-12,"ANKRD18A","ankyrin repeat domain 18A"
"ENSG00000120875",1.24026278749877,8.32609208963784,2.07896944806733e-13,6.10977011898476e-12,"DUSP4","dual specificity phosphatase 4"
"ENSG00000176170",1.13083588244555,8.32073649546707,2.13823836760362e-13,6.26440658925613e-12,"SPHK1","sphingosine kinase 1"
"ENSG00000287878",1.10982746626311,8.21532618157649,3.71520365361621e-13,1.02620244027599e-11,NA,NA
"ENSG00000125968",1.31637505252961,8.18301155588821,4.39942091430766e-13,1.19418287008253e-11,"ID1","inhibitor of DNA binding 1"
"ENSG00000145911",1.10421446176135,8.15680955577639,5.04512856525498e-13,1.34427343581716e-11,"N4BP3","NEDD4 binding protein 3"
"ENSG00000105205",1.32405294653213,8.15409119392433,5.11729164058594e-13,1.36157542267455e-11,"CLC","Charcot-Leyden crystal galectin"
"ENSG00000099381",1.01930915844981,8.13261650621039,5.72464936116855e-13,1.4998740565465e-11,"SETD1A","SET domain containing 1A, histone lysine methyltransferase"
"ENSG00000166147",1.31785209775232,8.10544383337346,6.5968688258873e-13,1.70235362934335e-11,"FBN1","fibrillin 1"
"ENSG00000285639",1.60890882867268,8.0497158711544,8.82050080339331e-13,2.22139831730379e-11,NA,NA
"ENSG00000102760",1.38354822886072,8.01968570075495,1.03130180322215e-12,2.54956212192899e-11,"RGCC","regulator of cell cycle"
"ENSG00000267655",1.22854593919094,7.95691328235617,1.42920936322825e-12,3.41235056837689e-11,NA,NA
"ENSG00000105366",1.71568470651608,7.94260175238555,1.53944649529634e-12,3.65642642507311e-11,"SIGLEC8","sialic acid binding Ig like lectin 8"
"ENSG00000148346",1.26808004102793,7.94238972672885,1.54114161880669e-12,3.65642642507311e-11,"LCN2","lipocalin 2"
"ENSG00000286245",1.00209778594578,7.90579817826423,1.86327831463719e-12,4.31209298416897e-11,NA,NA
"ENSG00000144677",1.02790798057919,7.90144547832248,1.90579890692601e-12,4.38892907196482e-11,"CTDSPL","CTD small phosphatase like"
"ENSG00000158457",1.37127892559545,7.85664557971459,2.40355001958284e-12,5.42902581161889e-11,"TSPAN33","tetraspanin 33"
"ENSG00000005187",1.14999563800841,7.83868636906547,2.63759979563156e-12,5.90809809157043e-11,"ACSM3","acyl-CoA synthetase medium chain family member 3"
"ENSG00000100448",1.83109887042505,7.83822292856674,2.64393003234912e-12,5.91524393698251e-11,"CTSG","cathepsin G"
"ENSG00000164821",1.60063251259703,7.80547417170978,3.13165134146678e-12,6.93232056058181e-11,"DEFA4","defensin alpha 4"
"ENSG00000161835",1.31758834910325,7.80269714725994,3.17690462447313e-12,7.00779031801227e-11,"TAMALIN","trafficking regulator and scaffold protein tamalin"
"ENSG00000250696",1.33897898626501,7.78971650436948,3.39719602340244e-12,7.45010229206695e-11,"UGT2B11-AS1","UGT2B11 antisense RNA 1"
"ENSG00000101412",1.19498032842797,7.77843682630969,3.60089805551882e-12,7.8149444204912e-11,"E2F1","E2F transcription factor 1"
"ENSG00000268758",1.54802748564797,7.74563427718645,4.26481093814853e-12,9.09858532874769e-11,NA,NA
"ENSG00000197561",1.64035687205221,7.71735227788292,4.93391085580927e-12,1.03502241315963e-10,"ELANE","elastase, neutrophil expressed"
"ENSG00000059915",1.18465784798379,7.69861329437978,5.43363758399565e-12,1.13228832751449e-10,"PSD","pleckstrin and Sec7 domain containing"
"ENSG00000270681",1.21088895331767,7.67539154153608,6.12312197501004e-12,1.25514006273383e-10,NA,NA
"ENSG00000138166",1.12391749491187,7.64283941863105,7.23810789623832e-12,1.46299867542207e-10,"DUSP5","dual specificity phosphatase 5"
"ENSG00000104081",1.12652717086061,7.51784607927232,1.37323548903753e-11,2.62757913023166e-10,"BMF","Bcl2 modifying factor"
"ENSG00000179869",1.12135217444362,7.51003424278145,1.42916075838968e-11,2.7194475117722e-10,"ABCA13","ATP binding cassette subfamily A member 13"
"ENSG00000114315",1.53582971644677,7.48785403848856,1.6005652273963e-11,3.01213264272642e-10,"HES1","hes family bHLH transcription factor 1"
"ENSG00000177706",1.00348902607259,7.4794391585889,1.67080038885482e-11,3.12589227163898e-10,"FAM20C","FAM20C golgi associated secretory pathway kinase"
"ENSG00000224940",1.49279487392389,7.47683437280407,1.69315470051454e-11,3.15907257705508e-10,"PRRT4","proline rich transmembrane protein 4"
"ENSG00000026036",1.06916208595441,7.46063814986845,1.83896157667873e-11,3.3963096256347e-10,"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B readthrough (NMD candidate)"
"ENSG00000267519",1.06455368537769,7.45218428440375,1.91994626099109e-11,3.535478755088e-10,NA,NA
"ENSG00000181649",1.39391131521708,7.4140220002793,2.33182274196765e-11,4.21158933971109e-10,"PHLDA2","pleckstrin homology like domain family A member 2"
"ENSG00000155090",1.00395654946609,7.40964849387923,2.3842952038526e-11,4.29401080785614e-10,"KLF10","KLF transcription factor 10"
"ENSG00000261888",1.04546150279798,7.40238253938095,2.47407121393662e-11,4.43449605405689e-10,NA,NA
"ENSG00000125740",1.45921843958079,7.38018474368103,2.76962636149365e-11,4.8624623856307e-10,"FOSB","FosB proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000274677",1.12448001118217,7.36588871470198,2.9782384272222e-11,5.18521769796781e-10,NA,NA
"ENSG00000205309",1.18750116864037,7.35706372027817,3.11471522879775e-11,5.38797111846576e-10,"NT5M","5',3'-nucleotidase, mitochondrial"
"ENSG00000167513",1.23306715325668,7.34040532942076,3.38944911832862e-11,5.82045966190288e-10,"CDT1","chromatin licensing and DNA replication factor 1"
"ENSG00000154146",1.55153939859548,7.30351012459126,4.08639254746443e-11,6.8916260348375e-10,"NRGN","neurogranin"
"ENSG00000240247",1.53132100383712,7.1455341738607,9.06808113025804e-11,1.41645532613434e-09,"DEFA1","defensin alpha 1"
"ENSG00000183856",1.09110783805607,7.13353506958203,9.63171361845975e-11,1.49335161435839e-09,"IQGAP3","IQ motif containing GTPase activating protein 3"
"ENSG00000135519",1.18054860461821,7.07054665700884,1.32106361161933e-10,1.97509494568928e-09,"KCNH3","potassium voltage-gated channel subfamily H member 3"
"ENSG00000165891",1.13123799711076,7.0594026662104,1.39687063461484e-10,2.07560542736723e-09,"E2F7","E2F transcription factor 7"
"ENSG00000119508",1.06602754870243,7.02904883572328,1.62588957404464e-10,2.38911917284344e-09,"NR4A3","nuclear receptor subfamily 4 group A member 3"
"ENSG00000138623",1.1207364629343,7.02637944974564,1.64772466595721e-10,2.41577326082878e-09,"SEMA7A","semaphorin 7A (JohnMiltonHagen blood group)"
"ENSG00000099194",1.00482796266664,7.00980364732797,1.78995781743325e-10,2.60581339758945e-09,"SCD","stearoyl-CoA desaturase"
"ENSG00000006118",1.14209062456894,6.98913644558541,1.98441948597064e-10,2.84493868163736e-09,"TMEM132A","transmembrane protein 132A"
"ENSG00000173320",1.33590066126572,6.97829401217242,2.09465438986896e-10,2.9915920694732e-09,"STOX2","storkhead box 2"
"ENSG00000158050",1.18731376347755,6.97319556243586,2.14856398129067e-10,3.06162241146397e-09,"DUSP2","dual specificity phosphatase 2"
"ENSG00000141576",1.11932621772156,6.93122991618129,2.64772652303199e-10,3.67559854391132e-09,"RNF157","ring finger protein 157"
"ENSG00000196415",1.63693513997318,6.92977925751563,2.66689349725292e-10,3.69132547400812e-09,"PRTN3","proteinase 3"
"ENSG00000175592",1.09465648477265,6.92876706479936,2.6803484311007e-10,3.7045050436592e-09,"FOSL1","FOS like 1, AP-1 transcription factor subunit"
"ENSG00000222047",1.35808313708614,6.90628167788041,2.99717687016913e-10,4.08248863920795e-09,"C10orf55","chromosome 10 putative open reading frame 55"
"ENSG00000162722",1.21599602440961,6.8713076635697,3.56504968378685e-10,4.77655803294287e-09,"TRIM58","tripartite motif containing 58"
"ENSG00000235027",1.02039561768444,6.85438647069773,3.87678285641509e-10,5.16118978439204e-09,"PRADX","PRC2 and DDX5 associated lncRNA"
"ENSG00000105472",1.0313637782386,6.78915978746099,5.35163636166035e-10,6.93357123665458e-09,"CLEC11A","C-type lectin domain containing 11A"
"ENSG00000247982",1.04688115122494,6.74742941261325,6.57346045514346e-10,8.36694919283733e-09,"LINC00926","long intergenic non-protein coding RNA 926"
"ENSG00000183570",1.04576456632217,6.74746534892214,6.57229788292535e-10,8.36694919283733e-09,"PCBP3","poly(rC) binding protein 3"
"ENSG00000259712",1.09303488950224,6.73922063122274,6.84441766773236e-10,8.67082313549039e-09,NA,NA
"ENSG00000259354",1.20954281209209,6.72817747474886,7.22641553816343e-10,9.09360159705563e-09,NA,NA
"ENSG00000122641",1.11434717570736,6.69805902349996,8.37864588157395e-10,1.03364067529201e-08,"INHBA","inhibin subunit beta A"
"ENSG00000197506",1.11963374693051,6.68730986945753,8.83236789138936e-10,1.08323011938797e-08,"SLC28A3","solute carrier family 28 member 3"
"ENSG00000225345",1.3174840374554,6.68489818973002,8.9374522391908e-10,1.09540484893869e-08,NA,NA
"ENSG00000153234",1.13711813222128,6.62681760109697,1.18766687945901e-09,1.41962364690665e-08,"NR4A2","nuclear receptor subfamily 4 group A member 2"
"ENSG00000103056",1.08307987519002,6.56432513888366,1.61089944579997e-09,1.85573128302528e-08,"SMPD3","sphingomyelin phosphodiesterase 3"
"ENSG00000055118",1.18692428429359,6.56148651888248,1.63331193942032e-09,1.87840844412698e-08,"KCNH2","potassium voltage-gated channel subfamily H member 2"
"ENSG00000239839",1.49459629507914,6.54611185239077,1.76015896176336e-09,1.99987180468626e-08,"DEFA3","defensin alpha 3"
"ENSG00000164556",1.07759350863789,6.5072353925917,2.12592204723545e-09,2.35024175621017e-08,"CFAP144P1","CFAP144 pseudogene 1"
"ENSG00000108688",1.18241212151306,6.49901751995367,2.21235028512044e-09,2.43720787550286e-08,"CCL7","C-C motif chemokine ligand 7"
"ENSG00000272636",1.13283232216228,6.49528531715692,2.25273842449653e-09,2.46870776269143e-08,"DOC2B","double C2 domain beta"
"ENSG00000005961",1.31566285724437,6.49316469291904,2.27601005100743e-09,2.49131187338048e-08,"ITGA2B","integrin subunit alpha 2b"
"ENSG00000276672",1.15799164245367,6.47075362316416,2.53692019684213e-09,2.7560843522556e-08,NA,NA
"ENSG00000267469",1.08743299327677,6.44649197306281,2.85268653727751e-09,3.05508294424297e-08,NA,NA
"ENSG00000012223",1.00298271217576,6.44522124911948,2.8702533234683e-09,3.07139373055584e-08,"LTF","lactotransferrin"
"ENSG00000283486",1.08455635800136,6.43812804048334,2.97028957288321e-09,3.16126073299288e-08,NA,NA
"ENSG00000267122",1.12304479554998,6.41268399651626,3.35824499556317e-09,3.52750441846019e-08,"DOT1L-AS1","DOT1L antisense RNA 1"
"ENSG00000197653",1.10389784341636,6.40671557872662,3.45624984092517e-09,3.61314286922022e-08,"DNAH10","dynein axonemal heavy chain 10"
"ENSG00000267007",1.28833994742318,6.39713116281023,3.61956409246039e-09,3.76506617193643e-08,NA,NA
"ENSG00000263020",1.27929463821726,6.38705930640947,3.79938495468281e-09,3.92825542131255e-08,NA,NA
"ENSG00000183684",1.02754673226043,6.3594059143332,4.33964508361935e-09,4.43571536002286e-08,"ALYREF","Aly/REF export factor"
"ENSG00000113296",1.16250999712563,6.33538933637681,4.86982501022019e-09,4.9162788608e-08,"THBS4","thrombospondin 4"
"ENSG00000274286",1.21098531568836,6.33086957423922,4.97651079690372e-09,5.00520610742511e-08,"ADRA2B","adrenoceptor alpha 2B"
"ENSG00000279946",1.24719877715928,6.30475946660477,5.63945490214645e-09,5.6090840256935e-08,NA,NA
"ENSG00000279071",1.19469820104553,6.2986407114703,5.80698433551242e-09,5.77266337268512e-08,NA,NA
"ENSG00000280119",1.11658875735328,6.29038271744923,6.04088379457968e-09,5.98937731169958e-08,"LOC285097","uncharacterized FLJ38379"
"ENSG00000223629",1.31528252833164,6.26990811175895,6.66159800546391e-09,6.54622760703856e-08,"DEFA8P","defensin alpha 8, pseudogene"
"ENSG00000005381",1.12055481909396,6.26527434493281,6.81056965789493e-09,6.67868356144845e-08,"MPO","myeloperoxidase"
"ENSG00000272734",1.06613890675281,6.2390173889038,7.71880597808364e-09,7.46496275841809e-08,NA,NA
"ENSG00000254501",1.5013176895259,6.23322557539354,7.93466789806146e-09,7.64178291736615e-08,NA,NA
"ENSG00000163600",1.20263720230846,6.22422202532436,8.2820916422198e-09,7.93177642888341e-08,"ICOS","inducible T cell costimulator"
"ENSG00000273036",1.328131359571,6.21331423007681,8.72311203670433e-09,8.30768374860648e-08,"CYP4F33P","cytochrome P450 family 4 subfamily F member 33, pseudogene"
"ENSG00000149516",1.04763114068873,6.20628502842773,9.01948529480541e-09,8.56396491852542e-08,"MS4A3","membrane spanning 4-domains A3"
"ENSG00000228594",1.07942562013437,6.16576356704058,1.09316393367708e-08,1.01844817915968e-07,"FNDC10","fibronectin type III domain containing 10"
"ENSG00000109099",1.10479373832241,6.16563751221122,1.09381700980461e-08,1.01855288337614e-07,"PMP22","peripheral myelin protein 22"
"ENSG00000228278",1.01875579070465,6.16139235504139,1.11603639571846e-08,1.03668114509588e-07,"ORM2","orosomucoid 2"
"ENSG00000271787",1.21992265274361,6.14215620824836,1.22241632515286e-08,1.12771198497696e-07,NA,NA
"ENSG00000164626",1.08660836968358,6.11758229724606,1.37293432568346e-08,1.25535329716429e-07,"KCNK5","potassium two pore domain channel subfamily K member 5"
"ENSG00000095932",1.16854600803237,6.08510749839278,1.60011799012151e-08,1.44224988985211e-07,"SMIM24","small integral membrane protein 24"
"ENSG00000183018",1.01482160935845,6.07161614468721,1.70502854385067e-08,1.52876381290142e-07,"SPNS2","SPNS lysolipid transporter 2, sphingosine-1-phosphate"
"ENSG00000170801",1.23651645059096,6.05302586518457,1.86075067227267e-08,1.65577804271481e-07,"HTRA3","HtrA serine peptidase 3"
"ENSG00000132561",1.10780341132191,6.03896324240153,1.98776197803826e-08,1.7555302457705e-07,"MATN2","matrilin 2"
"ENSG00000090339",1.01344595712949,6.01818657120328,2.19116250484727e-08,1.91674984850336e-07,"ICAM1","intercellular adhesion molecule 1"
"ENSG00000158856",1.1934410249535,6.00380614442723,2.34379266789019e-08,2.03186223091189e-07,"DMTN","dematin actin binding protein"
"ENSG00000144668",1.06961346699623,5.90174738246375,3.77149413872392e-08,3.10521881928676e-07,"ITGA9","integrin subunit alpha 9"
"ENSG00000102837",1.20660554263616,5.89697022399715,3.85604491876194e-08,3.16929206717441e-07,"OLFM4","olfactomedin 4"
"ENSG00000259207",1.09571248290236,5.85709226483344,4.63843127927717e-08,3.74937890448926e-07,"ITGB3","integrin subunit beta 3"
"ENSG00000215378",1.26866125542032,5.82900451251105,5.2810553985951e-08,4.20831309639317e-07,NA,NA
"ENSG00000104918",1.11933147418744,5.80466787471903,5.90795903573874e-08,4.6664206421487e-07,"RETN","resistin"
"ENSG00000285600",1.23473121988344,5.78921799961843,6.34326334296861e-08,4.96445346301798e-07,NA,NA
"ENSG00000049323",1.01499418066405,5.76171897534335,7.19724786611579e-08,5.54526606551694e-07,"LTBP1","latent transforming growth factor beta binding protein 1"
"ENSG00000160683",1.04301254449545,5.72472114436876,8.52634181434463e-08,6.46615245968696e-07,"CXCR5","C-X-C motif chemokine receptor 5"
"ENSG00000088899",1.03355115762421,5.70636938083422,9.27214244047597e-08,6.96168271397713e-07,"LZTS3","leucine zipper tumor suppressor family member 3"
"ENSG00000242593",1.16677302717566,5.70550884411583,9.30864156407847e-08,6.98074003917636e-07,"LOC102724577","uncharacterized LOC102724577"
"ENSG00000130522",1.16043208714864,5.68910889992913,1.00317851902539e-07,7.46656536602144e-07,"JUND","JunD proto-oncogene, AP-1 transcription factor subunit"
"ENSG00000184500",1.01838454686681,5.58987669149413,1.57385142650841e-07,1.1251990859332e-06,"PROS1","protein S"
"ENSG00000280091",1.08165332141486,5.57700870475697,1.66800413752273e-07,1.18707449726684e-06,NA,NA
"ENSG00000133169",1.04127507778076,5.56171843690774,1.7870693891302e-07,1.26416872521347e-06,"BEX1","brain expressed X-linked 1"
"ENSG00000279095",1.08089905689178,5.56134646139819,1.79006729778648e-07,1.26581410494376e-06,NA,NA
"ENSG00000245694",1.0603740779686,5.50472621476052,2.30875380188503e-07,1.58673127033602e-06,"CRNDE","colorectal neoplasia differentially expressed"
"ENSG00000256422",1.18019680706639,5.484346658683,2.52934771914864e-07,1.72387309454856e-06,"LINC02552","long intergenic non-protein coding RNA 2552"
"ENSG00000132470",1.10283410176528,5.42435987907963,3.30529885491536e-07,2.18397824724292e-06,"ITGB4","integrin subunit beta 4"
"ENSG00000244242",1.0253382682797,5.38755026835094,3.8920562254385e-07,2.53609668539642e-06,"IFITM10","interferon induced transmembrane protein 10"
"ENSG00000225914",1.01868725588706,5.38604841937107,3.91804267513477e-07,2.55038313456077e-06,"HCG23","HLA complex group 23"
"ENSG00000155875",1.06004470133835,5.38306699612298,3.97013369316162e-07,2.58161472253292e-06,"SAXO1","stabilizer of axonemal microtubules 1"
"ENSG00000140015",1.12620239018548,5.37838484472104,4.05330888804541e-07,2.6275372619752e-06,"KCNH5","potassium voltage-gated channel subfamily H member 5"
"ENSG00000101335",1.04894891322123,5.34958494506258,4.60366921783036e-07,2.9427865872239e-06,"MYL9","myosin light chain 9"
"ENSG00000081041",1.04777097988107,5.31925023658464,5.26225493386316e-07,3.32206295054002e-06,"CXCL2","C-X-C motif chemokine ligand 2"
"ENSG00000184897",1.3384018991473,5.30593748510462,5.5795488820772e-07,3.50282833055947e-06,"H1-10","H1.10 linker histone"
"ENSG00000004939",1.29342905038534,5.2859071004383,6.0924438339573e-07,3.7927778236645e-06,"SLC4A1","solute carrier family 4 member 1 (Diego blood group)"
"ENSG00000102145",1.03488274149987,5.26776846347617,6.59642870075588e-07,4.06754578935644e-06,"GATA1","GATA binding protein 1"
"ENSG00000253661",1.00986987795376,5.21961885439893,8.13991869607024e-07,4.90216714822798e-06,"ZFHX4-AS1","ZFHX4 antisense RNA 1"
"ENSG00000288535",1.42787520760422,5.2147321126012,8.31498504025573e-07,4.99164079631413e-06,NA,NA
"ENSG00000287439",1.07081794148582,5.16512957167101,1.03132087071817e-06,6.07315491171893e-06,NA,NA
"ENSG00000128573",1.02371014925702,5.15674412246692,1.06944023730356e-06,6.27996109424079e-06,"FOXP2","forkhead box P2"
"ENSG00000172058",1.06549884413302,5.13024784578397,1.19913817984025e-06,6.96772517946654e-06,"SERF1A","small EDRK-rich factor 1A"
"ENSG00000250479",1.10921099492684,5.12659632244099,1.21817313434704e-06,7.07178597991665e-06,"CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10"
"ENSG00000167100",1.01103627790894,5.12297761302686,1.23732743051591e-06,7.17634671676686e-06,"SAMD14","sterile alpha motif domain containing 14"
"ENSG00000253553",1.09836035327099,5.10850331982513,1.31691944370591e-06,7.58194635713076e-06,NA,NA
"ENSG00000272273",1.04959510438112,5.10801680936554,1.31967956639651e-06,7.59319599015804e-06,NA,NA
"ENSG00000143520",1.06588443296955,5.02427459484465,1.88907716873355e-06,1.04317638691019e-05,"FLG2","filaggrin 2"
"ENSG00000167080",1.04371096518607,5.0171543474207,1.94727573795206e-06,1.0700927757159e-05,"B4GALNT2","beta-1,4-N-acetyl-galactosaminyltransferase 2 (SID blood group)"
"ENSG00000175820",1.05195469074501,4.99356316710753,2.15284206549601e-06,1.17279464516523e-05,"LRTM3","leucine rich repeat transmembrane protein 3"
"ENSG00000160973",1.17984801825712,4.98087071306494,2.2720227477036e-06,1.23095670179006e-05,"FOXH1","forkhead box H1"
"ENSG00000228065",1.02589859969266,4.92708318613642,2.85230825464923e-06,1.5118678362713e-05,NA,NA
"ENSG00000206047",2.70083546946089,4.9239259631792,2.89051724070713e-06,1.52996807475249e-05,"DEFA1","defensin alpha 1"
"ENSG00000182263",1.05739921104636,4.91680900138367,2.97848101517363e-06,1.57035055594293e-05,"FIGN","fidgetin, microtubule severing factor"
"ENSG00000236333",1.17348223302206,4.83181998205246,4.25222236842677e-06,2.16086768212634e-05,NA,NA
"ENSG00000090104",1.00054627994509,4.81575686372916,4.5463358970681e-06,2.29608245654072e-05,"RGS1","regulator of G protein signaling 1"
"ENSG00000228198",1.08859393285284,4.81183191414652,4.62114910969021e-06,2.32949443212053e-05,"OR2M3","olfactory receptor family 2 subfamily M member 3"
"ENSG00000143416",1.19542004898044,4.79058324813045,5.04737621616513e-06,2.52543089402706e-05,"SELENBP1","selenium binding protein 1"
"ENSG00000182050",1.139553245145,4.66752957435937,8.37453982400437e-06,3.97880406568964e-05,"MGAT4C","MGAT4 family member C"
"ENSG00000259001",1.10353737547516,4.66410312547411,8.49248320292814e-06,4.03178927864819e-05,NA,NA
"ENSG00000234886",1.04506912910935,4.6378008160955,9.45297198949999e-06,4.44188292188079e-05,NA,NA
"ENSG00000188536",1.28950700319696,4.42666792883571,2.20408165957908e-05,9.48389454160591e-05,"HBA2","hemoglobin subunit alpha 2"
"ENSG00000286653",1.0238114474155,4.37261354391432,2.7267145178549e-05,0.000114451533171459,NA,NA
"ENSG00000169429",1.0084927291335,4.31915310996815,3.35994343209842e-05,0.000137626906662035,"CXCL8","C-X-C motif chemokine ligand 8"
"ENSG00000213973",1.07475309648758,4.27153158665944,4.04131402111107e-05,0.000162469040192772,"ZNF99","zinc finger protein 99"
"ENSG00000206172",1.3617872947757,4.23500048692718,4.65214660581934e-05,0.000184266479731759,"HBA1","hemoglobin subunit alpha 1"
"ENSG00000255949",1.05486005967243,4.17919621280068,5.75950337284657e-05,0.000222970662839465,NA,NA
"ENSG00000257764",1.20028334949841,4.11649841742957,7.30505835320204e-05,0.000274456899197487,NA,NA
"ENSG00000158578",1.21732737517915,4.10356115268266,7.67008734481859e-05,0.000286627862332261,"ALAS2","5'-aminolevulinate synthase 2"
"ENSG00000186919",1.28441303907403,3.96334185365415,0.000129275685148601,0.000454855315059647,"ZACN","zinc activated ion channel"
"ENSG00000285508",1.11284777506377,3.91046022267372,0.000156916455378662,0.000537877296927277,"LOC128706666","uncharacterized LOC128706666"
"ENSG00000234857",1.28562198766833,3.7487647178166,0.000280727200517103,0.000898460585005299,"HNRNPUL2-BSCL2","HNRNPUL2-BSCL2 readthrough (NMD candidate)"
"ENSG00000244734",1.04488241288343,3.73722141972885,0.000292445067384748,0.000931207381237034,"HBB","hemoglobin subunit beta"
"ENSG00000203618",1.15792000778712,3.6758534891346,0.000362943572882576,0.00112434320440092,"GP1BB","glycoprotein Ib platelet subunit beta"
"ENSG00000267601",1.06739506773857,3.35768829236957,0.00106895867816616,0.00285469855107657,NA,NA
