"Database","Comparison","Pathway","GeneRatio","BgRatio","GeneCount","PValue","AdjustedPValue","QValue"
"GO-BP","D3_vs_D0","regulation of cytokine-mediated signaling pathway","18/469","184/18842",18,8.39708334793841e-07,5.32346128799475e-05,2.5757982668991e-05
"GO-BP","D3_vs_D0","cell chemotaxis","24/469","311/18842",24,1.05889101476494e-06,6.5992241716791e-05,3.19308608904952e-05
"GO-BP","D3_vs_D0","immune response-activating cell surface receptor signaling pathway","25/469","336/18842",25,1.23446319404247e-06,7.56520194082361e-05,3.66048196722312e-05
"GO-BP","D3_vs_D0","cellular response to lipopolysaccharide","19/469","210/18842",19,1.37525838513767e-06,8.28987718385442e-05,4.01112173599029e-05
"GO-BP","D3_vs_D0","regulation of leukocyte chemotaxis","14/469","118/18842",14,1.41952152676841e-06,8.41867847407651e-05,4.07344324490717e-05
"GO-BP","D3_vs_D0","cytoplasmic pattern recognition receptor signaling pathway","18/469","191/18842",18,1.44769837777893e-06,8.44950307157639e-05,4.08835796683764e-05
"GO-BP","D3_vs_D0","response to mechanical stimulus","18/469","196/18842",18,2.1015619982437e-06,0.000118883745654493,5.75228276215501e-05
"GO-BP","D3_vs_D0","regulation of chemotaxis","18/469","196/18842",18,2.1015619982437e-06,0.000118883745654493,5.75228276215501e-05
"GO-BP","D3_vs_D0","chemotaxis","29/469","443/18842",29,2.37412771441209e-06,0.000130293546356616,6.30435486870848e-05
"GO-BP","D3_vs_D0","taxis","29/469","443/18842",29,2.37412771441209e-06,0.000130293546356616,6.30435486870848e-05
"GO-BP","D3_vs_D0","myeloid cell development","10/469","62/18842",10,2.79886760846279e-06,0.000151344649945848,7.32292893561755e-05
"GO-BP","D3_vs_D0","regulation of cellular extravasation","8/469","37/18842",8,2.84128696864407e-06,0.000151411770778322,7.32617662945069e-05
"GO-BP","D3_vs_D0","positive regulation of leukocyte chemotaxis","12/469","92/18842",12,2.93798731679995e-06,0.000154328276626763,7.46729403978589e-05
"GO-BP","D3_vs_D0","erythrocyte differentiation","13/469","109/18842",13,3.17509977869937e-06,0.000162150581753856,7.84578237471488e-05
"GO-BP","D3_vs_D0","response to type II interferon","13/469","109/18842",13,3.17509977869937e-06,0.000162150581753856,7.84578237471488e-05
"GO-BP","D3_vs_D0","cellular response to tumor necrosis factor","18/469","202/18842",18,3.23194362763946e-06,0.00016220566437773,7.84844759043521e-05
"GO-BP","D3_vs_D0","cellular response to interferon-beta","7/469","27/18842",7,3.26440553819746e-06,0.00016220566437773,7.84844759043521e-05
"GO-BP","D3_vs_D0","cellular response to molecule of bacterial origin","19/469","223/18842",19,3.36339366077091e-06,0.000164895979875395,7.97862060422088e-05
"GO-BP","D3_vs_D0","cellular response to biotic stimulus","20/469","245/18842",20,3.59242228891543e-06,0.000173807062583448,8.40979029164511e-05
"GO-BP","D3_vs_D0","MDA-5 signaling pathway","5/469","11/18842",5,3.81806088114559e-06,0.000182324803376264,8.82192782369612e-05
"GO-BP","D3_vs_D0","erythrocyte homeostasis","13/469","112/18842",13,4.3119812234061e-06,0.000200373983855772,9.69525149945777e-05
"GO-BP","D3_vs_D0","defense response to fungus","10/469","65/18842",10,4.35951011924442e-06,0.000200373983855772,9.69525149945777e-05
"GO-BP","D3_vs_D0","positive regulation of response to cytokine stimulus","10/469","65/18842",10,4.35951011924442e-06,0.000200373983855772,9.69525149945777e-05
"GO-BP","D3_vs_D0","cytokine production involved in immune response","12/469","96/18842",12,4.62361562335181e-06,0.000207329690817861,0.000100318088062313
"GO-BP","D3_vs_D0","regulation of cytokine production involved in immune response","12/469","96/18842",12,4.62361562335181e-06,0.000207329690817861,0.000100318088062313
"GO-BP","D3_vs_D0","antimicrobial humoral response","17/469","189/18842",17,5.32942858760621e-06,0.000236100107429253,0.000114238878547389
"GO-BP","D3_vs_D0","humoral immune response","22/469","296/18842",22,5.46615971214309e-06,0.000239274634066073,0.000115774898021746
"GO-BP","D3_vs_D0","granulocyte migration","14/469","133/18842",14,5.92953717062832e-06,0.000256504802075298,0.000124111849207365
"GO-BP","D3_vs_D0","positive regulation of tumor necrosis factor production","13/469","116/18842",13,6.38112839056308e-06,0.000270479375729472,0.000130873555670836
"GO-BP","D3_vs_D0","regulation of type I interferon-mediated signaling pathway","8/469","41/18842",8,6.44372669876793e-06,0.000270479375729472,0.000130873555670836
"GO-BP","D3_vs_D0","leukocyte mediated cytotoxicity","14/469","134/18842",14,6.4732621877056e-06,0.000270479375729472,0.000130873555670836
"GO-BP","D3_vs_D0","regulation of immune effector process","24/469","347/18842",24,7.07094814280483e-06,0.000292133441810038,0.000141351044444433
"GO-BP","D3_vs_D0","regulation of defense response to virus by host","8/469","42/18842",8,7.7881281685688e-06,0.00031818830306475,0.000153957892288998
"GO-BP","D3_vs_D0","regulation of type I interferon production","14/469","137/18842",14,8.37931300044239e-06,0.00033489928155029,0.000162043629573932
"GO-BP","D3_vs_D0","type I interferon production","14/469","137/18842",14,8.37931300044239e-06,0.00033489928155029,0.000162043629573932
"GO-BP","D3_vs_D0","response to fungus","10/469","70/18842",10,8.64589315579526e-06,0.000341838162729669,0.000165401061355463
"GO-BP","D3_vs_D0","positive regulation of defense response to virus by host","7/469","31/18842",7,8.86809279938927e-06,0.000346893374716536,0.000167847065105682
"GO-BP","D3_vs_D0","regulation of mononuclear cell migration","14/469","138/18842",14,9.11692752195652e-06,0.000351852870566354,0.000170246755856409
"GO-BP","D3_vs_D0","antibacterial humoral response","11/469","86/18842",11,9.20428673384051e-06,0.000351852870566354,0.000170246755856409
"GO-BP","D3_vs_D0","positive regulation of tumor necrosis factor superfamily cytokine production","13/469","120/18842",13,9.28194953628946e-06,0.000351852870566354,0.000170246755856409
"GO-BP","D3_vs_D0","regulation of neutrophil chemotaxis","7/469","32/18842",7,1.11093890977378e-05,0.000416828813391651,0.00020168587260118
"GO-BP","D3_vs_D0","leukocyte degranulation","10/469","74/18842",10,1.43277748217993e-05,0.000532153818381373,0.000257486775794101
"GO-BP","D3_vs_D0","neutrophil chemotaxis","10/469","75/18842",10,1.61695368425433e-05,0.000592536495743337,0.000286703405217222
"GO-BP","D3_vs_D0","regulation of defense response to virus","9/469","60/18842",9,1.62758188931403e-05,0.000592536495743337,0.000286703405217222
"GO-BP","D3_vs_D0","innate immune response in mucosa","7/469","34/18842",7,1.70080881320966e-05,0.000613124902565875,0.000296665266446738
"GO-BP","D3_vs_D0","myeloid cell homeostasis","13/469","128/18842",13,1.87374491668856e-05,0.000668908743559595,0.000323656713022416
"GO-BP","D3_vs_D0","neutrophil migration","11/469","93/18842",11,1.96197064274268e-05,0.000693669812823541,0.000335637549520743
"GO-BP","D3_vs_D0","positive regulation of neutrophil chemotaxis","6/469","24/18842",6,2.11755562732597e-05,0.000741547813493105,0.000358803693590463
"GO-BP","D3_vs_D0","granulocyte chemotaxis","12/469","112/18842",12,2.28342219392745e-05,0.000785216657296838,0.000379933204279459
"GO-BP","D3_vs_D0","cellular response to exogenous dsRNA","5/469","15/18842",5,2.28496552436121e-05,0.000785216657296838,0.000379933204279459
"GO-BP","D3_vs_D0","homeostasis of number of cells","17/469","214/18842",17,2.72496441389926e-05,0.000927749458324776,0.00044889881180477
"GO-BP","D3_vs_D0","regulation of pattern recognition receptor signaling pathway","16/469","195/18842",16,3.15305907433634e-05,0.00106365121250777,0.000514655935592359
"GO-BP","D3_vs_D0","positive regulation of chemotaxis","13/469","135/18842",13,3.30818315876133e-05,0.00110583540679685,0.000535067087033508
"GO-BP","D3_vs_D0","positive regulation of granulocyte chemotaxis","6/469","26/18842",6,3.47227069447781e-05,0.00115022876969323,0.000556547161936691
"GO-BP","D3_vs_D0","regulation of leukocyte mediated immunity","17/469","219/18842",17,3.657119605859e-05,0.00120064542774496,0.000580941655182154
"GO-BP","D3_vs_D0","myeloid leukocyte differentiation","16/469","201/18842",16,4.55641032061897e-05,0.00148264785388637,0.000717390728673961
"GO-BP","D3_vs_D0","biological process involved in symbiotic interaction","15/469","181/18842",15,4.94027438748304e-05,0.00159345516866449,0.000771005712220264
"GO-BP","D3_vs_D0","positive regulation of canonical NF-kappaB signal transduction","17/469","226/18842",17,5.43404928582436e-05,0.00173747819338923,0.000840692376104939
"GO-BP","D3_vs_D0","antimicrobial humoral immune response mediated by antimicrobial peptide","13/469","142/18842",13,5.62129411596464e-05,0.00178185331589672,0.000862163625253683
"GO-BP","D3_vs_D0","tumor necrosis factor-mediated signaling pathway","12/469","123/18842",12,5.81271437943911e-05,0.00182678211736732,0.00088390277628739
"GO-BP","D3_vs_D0","regulation of neutrophil migration","7/469","41/18842",7,6.11538826159247e-05,0.0018936431068253,0.000916253987548646
"GO-BP","D3_vs_D0","cellular response to dsRNA","5/469","18/18842",5,6.12846150971474e-05,0.0018936431068253,0.000916253987548646
"GO-BP","D3_vs_D0","positive regulation of interferon-beta production","7/469","42/18842",7,7.18270335053958e-05,0.00220090001832784,0.00106492264076602
"GO-BP","D3_vs_D0","regulation of canonical NF-kappaB signal transduction","21/469","326/18842",21,7.38068441043857e-05,0.00224287409728782,0.00108523212626629
"GO-BP","D3_vs_D0","regulation of production of molecular mediator of immune response","13/469","147/18842",13,8.03631470525894e-05,0.00241606619367965,0.00116903247299423
"GO-BP","D3_vs_D0","regulation of myeloid cell differentiation","15/469","189/18842",15,8.09466060812896e-05,0.00241606619367965,0.00116903247299423
"GO-BP","D3_vs_D0","negative regulation of phagocytosis","5/469","19/18842",5,8.14773478423379e-05,0.00241606619367965,0.00116903247299423
"GO-BP","D3_vs_D0","biological process involved in interaction with host","14/469","168/18842",14,8.24554791840419e-05,0.00242551037567778,0.00117360211411812
"GO-BP","D3_vs_D0","positive regulation of cytokine-mediated signaling pathway","8/469","58/18842",8,8.92863368253465e-05,0.00260560206751428,0.00126074088391842
"GO-BP","D3_vs_D0","tumor necrosis factor production","15/469","191/18842",15,9.11601849749127e-05,0.00261871875119339,0.00126708749362596
"GO-BP","D3_vs_D0","regulation of tumor necrosis factor production","15/469","191/18842",15,9.11601849749127e-05,0.00261871875119339,0.00126708749362596
"GO-BP","D3_vs_D0","positive regulation of mononuclear cell migration","10/469","92/18842",10,9.65490089237213e-05,0.00275202097529088,0.00133158681450549
"GO-BP","D3_vs_D0","positive regulation of neutrophil migration","6/469","31/18842",6,9.99286212405004e-05,0.00282644261770246,0.00136759630667102
"GO-BP","D3_vs_D0","viral gene expression","10/469","93/18842",10,0.000105817599585925,0.00297016269982783,0.00143713638941605
"GO-BP","D3_vs_D0","neutrophil-mediated killing of symbiont cell","4/469","11/18842",4,0.000108837685303963,0.00303178915805056,0.00146695483191007
"GO-BP","D3_vs_D0","tumor necrosis factor superfamily cytokine production","15/469","196/18842",15,0.000121759198059988,0.00334110874079535,0.00161662152469673
"GO-BP","D3_vs_D0","regulation of tumor necrosis factor superfamily cytokine production","15/469","196/18842",15,0.000121759198059988,0.00334110874079535,0.00161662152469673
"GO-BP","D3_vs_D0","canonical NF-kappaB signal transduction","21/469","339/18842",21,0.000127908464375339,0.00348384758154165,0.00168568682614687
"GO-BP","D3_vs_D0","response to wounding","27/469","496/18842",27,0.000131342802960422,0.003551084459452,0.00171821991396771
"GO-BP","D3_vs_D0","negative regulation of type I interferon-mediated signaling pathway","5/469","21/18842",5,0.000136839265665792,0.00367268598432931,0.00177705776026475
"GO-BP","D3_vs_D0","regulation of myeloid leukocyte mediated immunity","7/469","47/18842",7,0.000150427982048331,0.00400814268109938,0.00193937109954058
"GO-BP","D3_vs_D0","positive regulation of type I interferon production","9/469","80/18842",9,0.000164601050044367,0.00435423065477077,0.00210682846506849
"GO-BP","D3_vs_D0","erythrocyte development","6/469","34/18842",6,0.000171358095378574,0.00450059797647868,0.00217764943533385
"GO-BP","D3_vs_D0","production of molecular mediator of immune response","14/469","182/18842",14,0.000192790530172314,0.00502759418045106,0.00243264065916705
"GO-BP","D3_vs_D0","regulation of phagocytosis","10/469","100/18842",10,0.000194256334044205,0.00503014464986297,0.00243387472368552
"GO-BP","D3_vs_D0","mucosal immune response","7/469","49/18842",7,0.000196853066189357,0.00506173933131655,0.0024491620567436
"GO-BP","D3_vs_D0","regulation of lymphocyte migration","8/469","65/18842",8,0.000201990810682089,0.00510011088546588,0.00246772843251475
"GO-BP","D3_vs_D0","response to exogenous dsRNA","6/469","35/18842",6,0.000202506442555893,0.00510011088546588,0.00246772843251475
"GO-BP","D3_vs_D0","regulation of biological process involved in symbiotic interaction","6/469","35/18842",6,0.000202506442555893,0.00510011088546588,0.00246772843251475
"GO-BP","D3_vs_D0","exocytosis","21/469","351/18842",21,0.000206404569266083,0.00516292245708428,0.00249812030136909
"GO-BP","D3_vs_D0","macrophage activation","10/469","101/18842",10,0.000210899975117893,0.00523972438181415,0.00253528151170039
"GO-BP","D3_vs_D0","positive regulation of monocyte chemotaxis","5/469","23/18842",5,0.000217168708904879,0.00535925733317611,0.00259311846256727
"GO-BP","D3_vs_D0","granulocyte activation","7/469","50/18842",7,0.000224054464060965,0.00549232176234779,0.00265750272451715
"GO-BP","D3_vs_D0","neutrophil mediated cytotoxicity","4/469","13/18842",4,0.000226648828664886,0.00551912412583302,0.00267047125714643
"GO-BP","D3_vs_D0","lymphocyte migration","10/469","103/18842",10,0.000247794716425165,0.00599434981773245,0.00290041291490601
"GO-BP","D3_vs_D0","regulation of granulocyte chemotaxis","7/469","51/18842",7,0.000254205206578728,0.00610923231758158,0.00295599970853514
"GO-BP","D3_vs_D0","regulation of binding","9/469","85/18842",9,0.000261957246349609,0.00625465451186697,0.00302636337152518
"GO-BP","D3_vs_D0","T cell mediated immunity","11/469","124/18842",11,0.000273132205813788,0.00647940077920839,0.00313510860598675
"GO-BP","D3_vs_D0","positive regulation of cytokine production involved in immune response","8/469","68/18842",8,0.000277210214812825,0.00649236917112584,0.00314138346356874
"GO-BP","D3_vs_D0","T cell migration","8/469","68/18842",8,0.000277210214812825,0.00649236917112584,0.00314138346356874
"GO-BP","D3_vs_D0","positive regulation of immune effector process","16/469","235/18842",16,0.000281569164860579,0.00655272037463512,0.00317058486412275
"GO-BP","D3_vs_D0","organ or tissue specific immune response","7/469","52/18842",7,0.000287535915653419,0.00664949409973346,0.00321740958584127
"GO-BP","D3_vs_D0","cellular response to interleukin-1","9/469","88/18842",9,0.000340438181597355,0.00782369496083422,0.00378555583118648
"GO-BP","D3_vs_D0","regulation of leukocyte degranulation","6/469","39/18842",6,0.000374234716858197,0.00849420403634316,0.00410998687730508
"GO-BP","D3_vs_D0","response to dsRNA","6/469","39/18842",6,0.000374234716858197,0.00849420403634316,0.00410998687730508
"GO-BP","D3_vs_D0","regulation of myeloid leukocyte differentiation","10/469","109/18842",10,0.000392369834630077,0.00885118945972266,0.00428271705887376
"GO-BP","D3_vs_D0","myeloid cell activation involved in immune response","9/469","90/18842",9,0.000402829579398784,0.00903173392347152,0.00437007490589545
"GO-BP","D3_vs_D0","monocyte chemotaxis","7/469","55/18842",7,0.000409071344528557,0.00911609293231215,0.00441089267031858
"GO-BP","D3_vs_D0","hemostasis","15/469","222/18842",15,0.000468661880695137,0.0103811429838314,0.00502299700506644
"GO-BP","D3_vs_D0","acute inflammatory response to antigenic stimulus","5/469","27/18842",5,0.000479999255336087,0.0105056979873261,0.00508326391502947
"GO-BP","D3_vs_D0","RIG-I signaling pathway","5/469","27/18842",5,0.000479999255336087,0.0105056979873261,0.00508326391502947
"GO-BP","D3_vs_D0","positive regulation of binding","6/469","41/18842",6,0.000494557575646049,0.0107371297599546,0.00519524398337074
"GO-BP","D3_vs_D0","cellular response to mechanical stimulus","8/469","74/18842",8,0.000496413396571194,0.0107371297599546,0.00519524398337074
"GO-BP","D3_vs_D0","symbiont entry into host","11/469","134/18842",11,0.000531941220988847,0.0114382916349473,0.00553450662560971
"GO-BP","D3_vs_D0","leukocyte activation involved in immune response","17/469","274/18842",17,0.00053971512374698,0.0114918914998532,0.0055604413383204
"GO-BP","D3_vs_D0","negative regulation of viral transcription","4/469","16/18842",4,0.000543683580527203,0.0114918914998532,0.0055604413383204
"GO-BP","D3_vs_D0","cellular response to external stimulus","8/469","75/18842",8,0.000543809932274804,0.0114918914998532,0.0055604413383204
"GO-BP","D3_vs_D0","neutrophil activation","6/469","42/18842",6,0.000565012666002824,0.0117443997344306,0.00568261941717088
"GO-BP","D3_vs_D0","regulation of cytoplasmic pattern recognition receptor signaling pathway","11/469","135/18842",11,0.000566451602917403,0.0117443997344306,0.00568261941717088
"GO-BP","D3_vs_D0","interferon-beta production","7/469","58/18842",7,0.000568534988503845,0.0117443997344306,0.00568261941717088
"GO-BP","D3_vs_D0","regulation of interferon-beta production","7/469","58/18842",7,0.000568534988503845,0.0117443997344306,0.00568261941717088
"GO-BP","D3_vs_D0","positive regulation of type II interferon production","8/469","76/18842",8,0.000594801404864575,0.0122183506462963,0.00591194426266796
"GO-BP","D3_vs_D0","cell activation involved in immune response","17/469","279/18842",17,0.000661551757720849,0.0135140322952198,0.00653886993474459
"GO-BP","D3_vs_D0","positive regulation of cytosolic calcium ion concentration","12/469","160/18842",12,0.000681666994624153,0.0138480085040498,0.0067004669283829
"GO-BP","D3_vs_D0","regulation of T cell migration","6/469","44/18842",6,0.000729115510891394,0.0147305369975146,0.00712748522361915
"GO-BP","D3_vs_D0","interferon-alpha production","5/469","30/18842",5,0.000796860730182732,0.0159242223091408,0.00770505917232872
"GO-BP","D3_vs_D0","regulation of interferon-alpha production","5/469","30/18842",5,0.000796860730182732,0.0159242223091408,0.00770505917232872
"GO-BP","D3_vs_D0","positive regulation of pattern recognition receptor signaling pathway","8/469","82/18842",8,0.000987791406598398,0.0196330216327692,0.0094995906534954
"GO-BP","D3_vs_D0","mast cell activation","7/469","64/18842",7,0.00103373354032557,0.0204356893966511,0.00988796771181371
"GO-BP","D3_vs_D0","negative regulation of myeloid leukocyte differentiation","6/469","47/18842",6,0.00104158107913124,0.0204807145880512,0.0099097535018666
"GO-BP","D3_vs_D0","negative regulation of cytokine production","20/469","371/18842",20,0.00107310512127757,0.0204883096415087,0.00991342842772306
"GO-BP","D3_vs_D0","blood coagulation","14/469","216/18842",14,0.00107351458934736,0.0204883096415087,0.00991342842772306
"GO-BP","D3_vs_D0","response to chemokine","9/469","103/18842",9,0.00107819626042606,0.0204883096415087,0.00991342842772306
"GO-BP","D3_vs_D0","cellular response to chemokine","9/469","103/18842",9,0.00107819626042606,0.0204883096415087,0.00991342842772306
"GO-BP","D3_vs_D0","positive regulation of erythrocyte differentiation","5/469","32/18842",5,0.00108097146327242,0.0204883096415087,0.00991342842772306
"GO-BP","D3_vs_D0","negative regulation of exocytosis","5/469","32/18842",5,0.00108097146327242,0.0204883096415087,0.00991342842772306
"GO-BP","D3_vs_D0","regulation of monocyte chemotaxis","5/469","32/18842",5,0.00108097146327242,0.0204883096415087,0.00991342842772306
"GO-BP","D3_vs_D0","negative regulation of leukocyte mediated immunity","7/469","65/18842",7,0.0011341162835584,0.0213853619212525,0.0103474741702351
"GO-BP","D3_vs_D0","platelet activation","10/469","125/18842",10,0.00114845759556975,0.0215452988719896,0.0104248609113486
"GO-BP","D3_vs_D0","calcium-mediated signaling","14/469","219/18842",14,0.00122493992491801,0.0228634726087488,0.0110626695555616
"GO-BP","D3_vs_D0","negative regulation of cytokine-mediated signaling pathway","9/469","105/18842",9,0.00123602720616022,0.0229538991770259,0.0111064231559447
"GO-BP","D3_vs_D0","coagulation","14/469","220/18842",14,0.00127922967038891,0.0236368215980905,0.0114368604961338
"GO-BP","D3_vs_D0","mast cell degranulation","6/469","49/18842",6,0.0013009478182436,0.0239179256384085,0.0115728748786376
