"factor","rank","feature","gene_symbol","value","abs_weight","view","feature_label"
"Factor2",8,"ENSG00000273079","GRIN2B",0.479620307683945,0.479620307683945,"RNA","GRIN2B"
"Factor2",9,"ENSG00000138162","TACC2",0.478689670562744,0.478689670562744,"RNA","TACC2"
"Factor2",10,"ENSG00000232044","ENSG00000232044",0.478364378213882,0.478364378213882,"RNA","ENSG00000232044"
"Factor2",11,"ENSG00000273507","LOC105370169",0.477607727050781,0.477607727050781,"RNA","LOC105370169"
"Factor2",12,"ENSG00000148053","NTRK2",0.476995497941971,0.476995497941971,"RNA","NTRK2"
"Factor2",13,"ENSG00000277422","ENSG00000277422",0.475648552179337,0.475648552179337,"RNA","ENSG00000277422"
"Factor2",14,"ENSG00000242512","LINC01206",0.475644528865814,0.475644528865814,"RNA","LINC01206"
"Factor2",15,"ENSG00000224924","LINC00320",0.474277973175049,0.474277973175049,"RNA","LINC00320"
"Factor2",16,"ENSG00000153292","ADGRF1",0.474228411912918,0.474228411912918,"RNA","ADGRF1"
"Factor2",17,"ENSG00000123243","ITIH5",0.474098533391953,0.474098533391953,"RNA","ITIH5"
"Factor2",18,"ENSG00000206579","XKR4",0.473708033561707,0.473708033561707,"RNA","XKR4"
"Factor2",19,"ENSG00000273540","AGBL1",0.472956001758575,0.472956001758575,"RNA","AGBL1"
"Factor2",20,"ENSG00000234899","SOX9-AS1",0.472684115171432,0.472684115171432,"RNA","SOX9-AS1"
"Factor3",1,"ENSG00000164047","CAMP",0.0211811866611242,0.0211811866611242,"RNA","CAMP"
"Factor3",2,"ENSG00000121742","GJB6",0.0194157082587481,0.0194157082587481,"RNA","GJB6"
"Factor3",3,"ENSG00000012223","LTF",0.0192060060799122,0.0192060060799122,"RNA","LTF"
"Factor3",4,"ENSG00000137801","THBS1",-0.0189238470047712,0.0189238470047712,"RNA","THBS1"
"Factor3",5,"ENSG00000111335","OAS2",-0.0185669083148241,0.0185669083148241,"RNA","OAS2"
"Factor3",6,"ENSG00000148346","LCN2",0.0181615222245455,0.0181615222245455,"RNA","LCN2"
"Factor3",7,"ENSG00000262074","ENSG00000262074",-0.0168103016912937,0.0168103016912937,"RNA","ENSG00000262074"
"Factor3",8,"ENSG00000133101","CCNA1",-0.0165045596659184,0.0165045596659184,"RNA","CCNA1"
"Factor3",9,"ENSG00000137959","IFI44L",-0.0161474104970694,0.0161474104970694,"RNA","IFI44L"
"Factor3",10,"ENSG00000153823","PID1",-0.016007537022233,0.016007537022233,"RNA","PID1"
"Factor3",11,"ENSG00000278621","ENSG00000278621",-0.0157149862498045,0.0157149862498045,"RNA","ENSG00000278621"
"Factor3",12,"ENSG00000110079","MS4A4A",-0.0156041355803609,0.0156041355803609,"RNA","MS4A4A"
"Factor3",13,"ENSG00000161040","FBXL13",0.0155656849965453,0.0155656849965453,"RNA","FBXL13"
"Factor3",14,"ENSG00000089127","OAS1",-0.0155011983588338,0.0155011983588338,"RNA","OAS1"
"Factor3",15,"ENSG00000155659","VSIG4",-0.0154524752870202,0.0154524752870202,"RNA","VSIG4"
"Factor3",16,"ENSG00000088827","SIGLEC1",-0.015113340690732,0.015113340690732,"RNA","SIGLEC1"
"Factor3",17,"ENSG00000211949","IGHV3-23",-0.0149849765002728,0.0149849765002728,"RNA","IGHV3-23"
"Factor3",18,"ENSG00000211895","IGHA1",-0.0147811826318502,0.0147811826318502,"RNA","IGHA1"
"Factor3",19,"ENSG00000115590","IL1R2",-0.0146212019026279,0.0146212019026279,"RNA","IL1R2"
"Factor3",20,"ENSG00000229311","LOC101927827",-0.014425115659833,0.014425115659833,"RNA","LOC101927827"
"Factor4",1,"ENSG00000107201","RIGI",-0.680863678455353,0.680863678455353,"RNA","RIGI"
"Factor4",2,"ENSG00000146859","TMEM140",-0.66410893201828,0.66410893201828,"RNA","TMEM140"
"Factor4",3,"ENSG00000185507","IRF7",-0.652776420116425,0.652776420116425,"RNA","IRF7"
"Factor4",4,"ENSG00000233030","LOC124904411",-0.639501810073853,0.639501810073853,"RNA","LOC124904411"
"Factor4",5,"ENSG00000168062","BATF2",-0.635496973991394,0.635496973991394,"RNA","BATF2"
"Factor4",6,"ENSG00000177409","SAMD9L",-0.63460385799408,0.63460385799408,"RNA","SAMD9L"
"Factor4",7,"ENSG00000135114","OASL",-0.628217816352844,0.628217816352844,"RNA","OASL"
"Factor4",8,"ENSG00000119917","IFIT3",-0.627338647842407,0.627338647842407,"RNA","IFIT3"
"Factor4",9,"ENSG00000185745","IFIT1",-0.626360237598419,0.626360237598419,"RNA","IFIT1"
"Factor4",10,"ENSG00000121236","TRIM6",-0.626146256923676,0.626146256923676,"RNA","TRIM6"
"Factor4",11,"ENSG00000138646","HERC5",-0.624981164932251,0.624981164932251,"RNA","HERC5"
"Factor4",12,"ENSG00000177294","FBXO39",-0.624832510948181,0.624832510948181,"RNA","FBXO39"
"Factor4",13,"ENSG00000137757","CASP5",-0.624642193317413,0.624642193317413,"RNA","CASP5"
"Factor4",14,"ENSG00000157601","MX1",-0.623514294624329,0.623514294624329,"RNA","MX1"
"Factor4",15,"ENSG00000134321","RSAD2",-0.619330286979675,0.619330286979675,"RNA","RSAD2"
"Factor4",16,"ENSG00000111331","OAS3",-0.617816507816315,0.617816507816315,"RNA","OAS3"
"Factor4",17,"ENSG00000163568","AIM2",-0.614627599716187,0.614627599716187,"RNA","AIM2"
"Factor4",18,"ENSG00000089127","OAS1",-0.613130450248718,0.613130450248718,"RNA","OAS1"
"Factor4",19,"ENSG00000119922","IFIT2",-0.61171156167984,0.61171156167984,"RNA","IFIT2"
"Factor4",20,"ENSG00000181778","TMEM252",-0.610147058963776,0.610147058963776,"RNA","TMEM252"
"Factor5",1,"ENSG00000204936","CD177",-0.483365386724472,0.483365386724472,"RNA","CD177"
"Factor5",2,"ENSG00000115590","IL1R2",-0.478587836027145,0.478587836027145,"RNA","IL1R2"
"Factor5",3,"ENSG00000163958","ZDHHC19",-0.475788593292236,0.475788593292236,"RNA","ZDHHC19"
"Factor5",4,"ENSG00000162551","ALPL",-0.469686985015869,0.469686985015869,"RNA","ALPL"
"Factor5",5,"ENSG00000135424","ITGA7",-0.463760197162628,0.463760197162628,"RNA","ITGA7"
"Factor5",6,"ENSG00000186105","LRRC70",-0.437150239944458,0.437150239944458,"RNA","LRRC70"
"Factor5",7,"ENSG00000274173","ENSG00000274173",-0.428124994039536,0.428124994039536,"RNA","ENSG00000274173"
"Factor5",8,"ENSG00000197705","KLHL14",0.419967144727707,0.419967144727707,"RNA","KLHL14"
"Factor5",9,"ENSG00000156414","TDRD9",-0.418974548578262,0.418974548578262,"RNA","TDRD9"
"Factor5",10,"ENSG00000152463","OLAH",-0.400118082761765,0.400118082761765,"RNA","OLAH"
"Factor5",11,"ENSG00000048462","TNFRSF17",0.395350575447083,0.395350575447083,"RNA","TNFRSF17"
"Factor5",12,"ENSG00000287255","LOC101929667",-0.394407957792282,0.394407957792282,"RNA","LOC101929667"
"Factor5",13,"ENSG00000078401","EDN1",-0.388891637325287,0.388891637325287,"RNA","EDN1"
"Factor5",14,"ENSG00000122861","PLAU",-0.388585984706879,0.388585984706879,"RNA","PLAU"
"Factor5",15,"ENSG00000133328","PLAAT2",0.387549102306366,0.387549102306366,"RNA","PLAAT2"
"Factor5",16,"ENSG00000158089","GALNT14",-0.384816318750381,0.384816318750381,"RNA","GALNT14"
"Factor5",17,"ENSG00000269711","ENSG00000269711",-0.382083863019943,0.382083863019943,"RNA","ENSG00000269711"
"Factor5",18,"ENSG00000118520","ARG1",-0.381793439388275,0.381793439388275,"RNA","ARG1"
"Factor5",19,"ENSG00000197632","SERPINB2",-0.375718981027603,0.375718981027603,"RNA","SERPINB2"
"Factor5",20,"ENSG00000213413","PVRIG",0.372842937707901,0.372842937707901,"RNA","PVRIG"
"Factor6",1,"ENSG00000104918","RETN",0.0184888280928135,0.0184888280928135,"RNA","RETN"
"Factor6",2,"ENSG00000118113","MMP8",0.0178619828075171,0.0178619828075171,"RNA","MMP8"
"Factor6",3,"ENSG00000118520","ARG1",0.0161783322691917,0.0161783322691917,"RNA","ARG1"
"Factor6",4,"ENSG00000160932","LY6E",-0.0152769135311246,0.0152769135311246,"RNA","LY6E"
"Factor6",5,"ENSG00000288187","ENSG00000288187",-0.0146353682503104,0.0146353682503104,"RNA","ENSG00000288187"
"Factor6",6,"ENSG00000234948","LINC01524",-0.0144987786188722,0.0144987786188722,"RNA","LINC01524"
"Factor6",7,"ENSG00000211945","IGHV1-18",-0.0139113264158368,0.0139113264158368,"RNA","IGHV1-18"
"Factor6",8,"ENSG00000115604","IL18R1",0.0135909346863627,0.0135909346863627,"RNA","IL18R1"
"Factor6",9,"ENSG00000112299","VNN1",0.0127328941598535,0.0127328941598535,"RNA","VNN1"
"Factor6",10,"ENSG00000125740","FOSB",0.0124421715736389,0.0124421715736389,"RNA","FOSB"
"Factor6",11,"ENSG00000249173","LINC01093",0.0123311402276158,0.0123311402276158,"RNA","LINC01093"
"Factor6",12,"ENSG00000012223","LTF",0.0123102739453316,0.0123102739453316,"RNA","LTF"
"Factor6",13,"ENSG00000078401","EDN1",0.0122802956029773,0.0122802956029773,"RNA","EDN1"
"Factor6",14,"ENSG00000242550","SERPINB10",0.0121684987097979,0.0121684987097979,"RNA","SERPINB10"
"Factor6",15,"ENSG00000184897","H1-10",-0.0120742935687304,0.0120742935687304,"RNA","H1-10"
"Factor6",16,"ENSG00000241684","ADAMTS9-AS2",-0.0118644293397665,0.0118644293397665,"RNA","ADAMTS9-AS2"
"Factor6",17,"ENSG00000035720","STAP1",0.0118368249386549,0.0118368249386549,"RNA","STAP1"
"Factor6",18,"ENSG00000125510","OPRL1",-0.011740910820663,0.011740910820663,"RNA","OPRL1"
"Factor6",19,"ENSG00000182557","SPNS3",-0.0117337824776769,0.0117337824776769,"RNA","SPNS3"
"Factor6",20,"ENSG00000158856","DMTN",-0.0116477822884917,0.0116477822884917,"RNA","DMTN"
"Factor7",1,"ENSG00000170476","MZB1",-0.732998609542847,0.732998609542847,"RNA","MZB1"
"Factor7",2,"ENSG00000211896","IGHG1",-0.68430483341217,0.68430483341217,"RNA","IGHG1"
"Factor7",3,"ENSG00000211592","IGKC",-0.665427565574646,0.665427565574646,"RNA","IGKC"
"Factor7",4,"ENSG00000132465","JCHAIN",-0.664732098579407,0.664732098579407,"RNA","JCHAIN"
"Factor7",5,"ENSG00000211677","IGLC2",-0.660472512245178,0.660472512245178,"RNA","IGLC2"
"Factor7",6,"ENSG00000211895","IGHA1",-0.657213628292084,0.657213628292084,"RNA","IGHA1"
"Factor7",7,"ENSG00000254709","IGLL5",-0.640983581542969,0.640983581542969,"RNA","IGLL5"
"Factor7",8,"ENSG00000211897","IGHG3",-0.627926588058472,0.627926588058472,"RNA","IGHG3"
"Factor7",9,"ENSG00000211899","IGHM",-0.62715220451355,0.62715220451355,"RNA","IGHM"
"Factor7",10,"ENSG00000211673","ENSG00000211673",-0.617643296718597,0.617643296718597,"RNA","ENSG00000211673"
"Factor7",11,"ENSG00000211675","IGLC1",-0.616807043552399,0.616807043552399,"RNA","IGLC1"
"Factor7",12,"ENSG00000048462","TNFRSF17",-0.61633712053299,0.61633712053299,"RNA","TNFRSF17"
"Factor7",13,"ENSG00000211679","IGLC3",-0.61552619934082,0.61552619934082,"RNA","IGLC3"
"Factor7",14,"ENSG00000211933","IGHV6-1",-0.607379734516144,0.607379734516144,"RNA","IGHV6-1"
"Factor7",15,"ENSG00000211659","IGLV3-25",-0.598188400268555,0.598188400268555,"RNA","IGLV3-25"
"Factor7",16,"ENSG00000115884","SDC1",-0.587845265865326,0.587845265865326,"RNA","SDC1"
"Factor7",17,"ENSG00000211966","IGHV5-51",-0.579380691051483,0.579380691051483,"RNA","IGHV5-51"
"Factor7",18,"ENSG00000243466","IGKV1-5",-0.576224565505981,0.576224565505981,"RNA","IGKV1-5"
"Factor7",19,"ENSG00000211662","IGLV3-21",-0.575731515884399,0.575731515884399,"RNA","IGLV3-21"
"Factor7",20,"ENSG00000211962","IGHV1-46",-0.572853803634644,0.572853803634644,"RNA","IGHV1-46"
"Factor8",1,"ENSG00000211895","IGHA1",0.0484924912452698,0.0484924912452698,"RNA","IGHA1"
"Factor8",2,"ENSG00000254709","IGLL5",0.0455684214830399,0.0455684214830399,"RNA","IGLL5"
"Factor8",3,"ENSG00000161040","FBXL13",-0.0430867522954941,0.0430867522954941,"RNA","FBXL13"
"Factor8",4,"ENSG00000211675","IGLC1",0.0420570708811283,0.0420570708811283,"RNA","IGLC1"
"Factor8",5,"ENSG00000112299","VNN1",-0.0420006141066551,0.0420006141066551,"RNA","VNN1"
"Factor8",6,"ENSG00000118322","ATP10B",-0.0384239330887794,0.0384239330887794,"RNA","ATP10B"
"Factor8",7,"ENSG00000211679","IGLC3",0.0383243225514889,0.0383243225514889,"RNA","IGLC3"
"Factor8",8,"ENSG00000173391","OLR1",-0.0357349254190922,0.0357349254190922,"RNA","OLR1"
"Factor8",9,"ENSG00000169439","SDC2",-0.035687018185854,0.035687018185854,"RNA","SDC2"
"Factor8",10,"ENSG00000215533","LINC00189",-0.035384513437748,0.035384513437748,"RNA","LINC00189"
"Factor8",11,"ENSG00000288535","ENSG00000288535",0.034642405807972,0.034642405807972,"RNA","ENSG00000288535"
"Factor8",12,"ENSG00000164047","CAMP",-0.0343964993953705,0.0343964993953705,"RNA","CAMP"
"Factor8",13,"ENSG00000262074","ENSG00000262074",0.0327886454761028,0.0327886454761028,"RNA","ENSG00000262074"
"Factor8",14,"ENSG00000172322","CLEC12A",-0.0325872302055359,0.0325872302055359,"RNA","CLEC12A"
"Factor8",15,"ENSG00000256660","CLEC12B",-0.0325337164103985,0.0325337164103985,"RNA","CLEC12B"
"Factor8",16,"ENSG00000049247","UTS2",-0.0323794595897198,0.0323794595897198,"RNA","UTS2"
"Factor8",17,"ENSG00000167286","CD3D",-0.0313677452504635,0.0313677452504635,"RNA","CD3D"
"Factor8",18,"ENSG00000172461","FUT9",-0.0312639102339745,0.0312639102339745,"RNA","FUT9"
"Factor8",19,"ENSG00000132465","JCHAIN",0.0311603378504515,0.0311603378504515,"RNA","JCHAIN"
"Factor8",20,"ENSG00000261200","ENSG00000261200",0.0310853905975819,0.0310853905975819,"RNA","ENSG00000261200"
"Factor9",1,"ENSG00000165949","IFI27",-0.492820531129837,0.492820531129837,"RNA","IFI27"
"Factor9",2,"ENSG00000287771","ENSG00000287771",0.454444766044617,0.454444766044617,"RNA","ENSG00000287771"
"Factor9",3,"ENSG00000137959","IFI44L",-0.437717854976654,0.437717854976654,"RNA","IFI44L"
"Factor9",4,"ENSG00000106714","CNTNAP3",0.423795998096466,0.423795998096466,"RNA","CNTNAP3"
"Factor9",5,"ENSG00000088827","SIGLEC1",-0.406077206134796,0.406077206134796,"RNA","SIGLEC1"
"Factor9",6,"ENSG00000184979","USP18",-0.401767134666443,0.401767134666443,"RNA","USP18"
"Factor9",7,"ENSG00000169902","TPST1",0.395901173353195,0.395901173353195,"RNA","TPST1"
"Factor9",8,"ENSG00000137965","IFI44",-0.394942611455917,0.394942611455917,"RNA","IFI44"
"Factor9",9,"ENSG00000187608","ISG15",-0.394180148839951,0.394180148839951,"RNA","ISG15"
"Factor9",10,"ENSG00000115155","OTOF",-0.391943842172623,0.391943842172623,"RNA","OTOF"
"Factor9",11,"ENSG00000138642","HERC6",-0.38765475153923,0.38765475153923,"RNA","HERC6"
"Factor9",12,"ENSG00000160932","LY6E",-0.385589420795441,0.385589420795441,"RNA","LY6E"
"Factor9",13,"ENSG00000115590","IL1R2",0.384164988994598,0.384164988994598,"RNA","IL1R2"
"Factor9",14,"ENSG00000132470","ITGB4",0.381418079137802,0.381418079137802,"RNA","ITGB4"
"Factor9",15,"ENSG00000271454","ENSG00000271454",0.381067872047424,0.381067872047424,"RNA","ENSG00000271454"
"Factor9",16,"ENSG00000196141","SPATS2L",-0.376465797424316,0.376465797424316,"RNA","SPATS2L"
"Factor9",17,"ENSG00000126709","IFI6",-0.374663770198822,0.374663770198822,"RNA","IFI6"
"Factor9",18,"ENSG00000152463","OLAH",0.373102188110352,0.373102188110352,"RNA","OLAH"
"Factor9",19,"ENSG00000136999","CCN3",0.370731174945831,0.370731174945831,"RNA","CCN3"
"Factor9",20,"ENSG00000135519","KCNH3",0.364071667194366,0.364071667194366,"RNA","KCNH3"
"Factor10",1,"ENSG00000134827","TCN1",-0.588509976863861,0.588509976863861,"RNA","TCN1"
"Factor10",2,"ENSG00000065618","COL17A1",-0.482096880674362,0.482096880674362,"RNA","COL17A1"
"Factor10",3,"ENSG00000118113","MMP8",-0.478088706731796,0.478088706731796,"RNA","MMP8"
"Factor10",4,"ENSG00000173391","OLR1",-0.473685055971146,0.473685055971146,"RNA","OLR1"
"Factor10",5,"ENSG00000101425","BPI",-0.471687972545624,0.471687972545624,"RNA","BPI"
"Factor10",6,"ENSG00000149516","MS4A3",-0.46685266494751,0.46685266494751,"RNA","MS4A3"
"Factor10",7,"ENSG00000124469","CEACAM8",-0.4644775390625,0.4644775390625,"RNA","CEACAM8"
"Factor10",8,"ENSG00000096006","CRISP3",-0.462348520755768,0.462348520755768,"RNA","CRISP3"
"Factor10",9,"ENSG00000012223","LTF",-0.448254197835922,0.448254197835922,"RNA","LTF"
"Factor10",10,"ENSG00000158163","DZIP1L",-0.447291344404221,0.447291344404221,"RNA","DZIP1L"
"Factor10",11,"ENSG00000086548","CEACAM6",-0.440741777420044,0.440741777420044,"RNA","CEACAM6"
"Factor10",12,"ENSG00000242550","SERPINB10",-0.427262306213379,0.427262306213379,"RNA","SERPINB10"
"Factor10",13,"ENSG00000248385","TARM1",-0.424495339393616,0.424495339393616,"RNA","TARM1"
"Factor10",14,"ENSG00000283646","LINC02009",-0.413636744022369,0.413636744022369,"RNA","LINC02009"
"Factor10",15,"ENSG00000133063","CHIT1",-0.407262682914734,0.407262682914734,"RNA","CHIT1"
"Factor10",16,"ENSG00000163710","PCOLCE2",-0.407153934240341,0.407153934240341,"RNA","PCOLCE2"
"Factor10",17,"ENSG00000184292","TACSTD2",-0.401617258787155,0.401617258787155,"RNA","TACSTD2"
"Factor10",18,"ENSG00000179869","ABCA13",-0.401379525661469,0.401379525661469,"RNA","ABCA13"
"Factor10",19,"ENSG00000100448","CTSG",-0.384617209434509,0.384617209434509,"RNA","CTSG"
"Factor10",20,"ENSG00000164047","CAMP",-0.380796700716019,0.380796700716019,"RNA","CAMP"
"Factor11",1,"ENSG00000179869","ABCA13",-0.489195346832275,0.489195346832275,"RNA","ABCA13"
"Factor11",2,"ENSG00000148346","LCN2",-0.442847311496735,0.442847311496735,"RNA","LCN2"
"Factor11",3,"ENSG00000172232","AZU1",-0.424166709184647,0.424166709184647,"RNA","AZU1"
"Factor11",4,"ENSG00000122641","INHBA",-0.408572763204575,0.408572763204575,"RNA","INHBA"
"Factor11",5,"ENSG00000133169","BEX1",-0.398551195859909,0.398551195859909,"RNA","BEX1"
"Factor11",6,"ENSG00000182050","MGAT4C",-0.398336738348007,0.398336738348007,"RNA","MGAT4C"
"Factor11",7,"ENSG00000164821","DEFA4",-0.396398365497589,0.396398365497589,"RNA","DEFA4"
"Factor11",8,"ENSG00000272398","CD24",-0.396000623703003,0.396000623703003,"RNA","CD24"
"Factor11",9,"ENSG00000286653","ENSG00000286653",-0.395514458417892,0.395514458417892,"RNA","ENSG00000286653"
"Factor11",10,"ENSG00000288535","ENSG00000288535",-0.39055547118187,0.39055547118187,"RNA","ENSG00000288535"
"Factor11",11,"ENSG00000169397","RNASE3",-0.390447616577148,0.390447616577148,"RNA","RNASE3"
"Factor11",12,"ENSG00000197561","ELANE",-0.385104447603226,0.385104447603226,"RNA","ELANE"
"Factor11",13,"ENSG00000100448","CTSG",-0.379243612289429,0.379243612289429,"RNA","CTSG"
"Factor11",14,"ENSG00000240247","DEFA1",-0.367256134748459,0.367256134748459,"RNA","DEFA1"
"Factor11",15,"ENSG00000224940","PRRT4",-0.367120653390884,0.367120653390884,"RNA","PRRT4"
"Factor11",16,"ENSG00000160180","TFF3",-0.359326153993607,0.359326153993607,"RNA","TFF3"
"Factor11",17,"ENSG00000012223","LTF",-0.3562031686306,0.3562031686306,"RNA","LTF"
"Factor11",18,"ENSG00000196415","PRTN3",-0.354808330535889,0.354808330535889,"RNA","PRTN3"
"Factor11",19,"ENSG00000188738","FSIP2",-0.353797346353531,0.353797346353531,"RNA","FSIP2"
"Factor11",20,"ENSG00000172216","CEBPB",-0.35346332192421,0.35346332192421,"RNA","CEBPB"
"Factor12",1,"ENSG00000172216","CEBPB",-0.551541984081268,0.551541984081268,"RNA","CEBPB"
"Factor12",2,"ENSG00000105048","TNNT1",-0.526612460613251,0.526612460613251,"RNA","TNNT1"
"Factor12",3,"ENSG00000267007","ENSG00000267007",-0.511473059654236,0.511473059654236,"RNA","ENSG00000267007"
"Factor12",4,"ENSG00000244491","ENSG00000244491",-0.504514098167419,0.504514098167419,"RNA","ENSG00000244491"
"Factor12",5,"ENSG00000271787","ENSG00000271787",-0.497796952724457,0.497796952724457,"RNA","ENSG00000271787"
"Factor12",6,"ENSG00000279423","ENSG00000279423",-0.495540887117386,0.495540887117386,"RNA","ENSG00000279423"
"Factor12",7,"ENSG00000267601","ENSG00000267601",-0.491603136062622,0.491603136062622,"RNA","ENSG00000267601"
"Factor12",8,"ENSG00000130522","JUND",-0.489679485559464,0.489679485559464,"RNA","JUND"
"Factor12",9,"ENSG00000250479","CHCHD10",-0.488660871982574,0.488660871982574,"RNA","CHCHD10"
"Factor12",10,"ENSG00000143443","C1orf56",-0.485830694437027,0.485830694437027,"RNA","C1orf56"
"Factor12",11,"ENSG00000163737","PF4",-0.457129269838333,0.457129269838333,"RNA","PF4"
"Factor12",12,"ENSG00000142694","EVA1B",-0.45147517323494,0.45147517323494,"RNA","EVA1B"
"Factor12",13,"ENSG00000089692","LAG3",-0.448475033044815,0.448475033044815,"RNA","LAG3"
"Factor12",14,"ENSG00000243449","NICOL1",-0.445216983556747,0.445216983556747,"RNA","NICOL1"
"Factor12",15,"ENSG00000232133","IMPDH1P10",0.442741394042969,0.442741394042969,"RNA","IMPDH1P10"
"Factor12",16,"ENSG00000254501","ENSG00000254501",-0.439348727464676,0.439348727464676,"RNA","ENSG00000254501"
"Factor12",17,"ENSG00000228830","ENSG00000228830",-0.438035547733307,0.438035547733307,"RNA","ENSG00000228830"
"Factor12",18,"ENSG00000117691","NENF",-0.437166571617126,0.437166571617126,"RNA","NENF"
"Factor12",19,"ENSG00000099624","ATP5F1D",-0.427020281553268,0.427020281553268,"RNA","ATP5F1D"
"Factor12",20,"ENSG00000272273","ENSG00000272273",-0.421042561531067,0.421042561531067,"RNA","ENSG00000272273"
"Factor13",1,"ENSG00000179593","ALOX15B",0.152623146772385,0.152623146772385,"RNA","ALOX15B"
"Factor13",2,"ENSG00000122025","FLT3",0.150397211313248,0.150397211313248,"RNA","FLT3"
"Factor13",3,"ENSG00000189221","MAOA",0.134671553969383,0.134671553969383,"RNA","MAOA"
"Factor13",4,"ENSG00000087116","ADAMTS2",0.128412291407585,0.128412291407585,"RNA","ADAMTS2"
"Factor13",5,"ENSG00000146122","DAAM2",0.122094467282295,0.122094467282295,"RNA","DAAM2"
"Factor13",6,"ENSG00000152463","OLAH",0.122083373367786,0.122083373367786,"RNA","OLAH"
"Factor13",7,"ENSG00000161905","ALOX15",-0.118426866829395,0.118426866829395,"RNA","ALOX15"
"Factor13",8,"ENSG00000169902","TPST1",0.117731317877769,0.117731317877769,"RNA","TPST1"
"Factor13",9,"ENSG00000168916","ZNF608",0.116595596075058,0.116595596075058,"RNA","ZNF608"
"Factor13",10,"ENSG00000115590","IL1R2",0.106707125902176,0.106707125902176,"RNA","IL1R2"
"Factor13",11,"ENSG00000169174","PCSK9",0.105806142091751,0.105806142091751,"RNA","PCSK9"
"Factor13",12,"ENSG00000118520","ARG1",0.105018615722656,0.105018615722656,"RNA","ARG1"
"Factor13",13,"ENSG00000103355","PRSS33",-0.097932294011116,0.097932294011116,"RNA","PRSS33"
"Factor13",14,"ENSG00000105366","SIGLEC8",-0.0968125686049461,0.0968125686049461,"RNA","SIGLEC8"
"Factor13",15,"ENSG00000164105","SAP30",0.09569001942873,0.09569001942873,"RNA","SAP30"
"Factor13",16,"ENSG00000121933","TMIGD3",0.0945262312889099,0.0945262312889099,"RNA","TMIGD3"
"Factor13",17,"ENSG00000287458","ENSG00000287458",0.0920766741037369,0.0920766741037369,"RNA","ENSG00000287458"
"Factor13",18,"ENSG00000137801","THBS1",0.0899702683091164,0.0899702683091164,"RNA","THBS1"
"Factor13",19,"ENSG00000115604","IL18R1",0.0875895619392395,0.0875895619392395,"RNA","IL18R1"
