"factor","rank","feature","value","abs_weight","view"
"Factor4",4,"ENSG00000233030",-0.639501810073853,0.639501810073853,"RNA"
"Factor4",5,"ENSG00000168062",-0.635496973991394,0.635496973991394,"RNA"
"Factor4",6,"ENSG00000177409",-0.63460385799408,0.63460385799408,"RNA"
"Factor4",7,"ENSG00000135114",-0.628217816352844,0.628217816352844,"RNA"
"Factor4",8,"ENSG00000119917",-0.627338647842407,0.627338647842407,"RNA"
"Factor4",9,"ENSG00000185745",-0.626360237598419,0.626360237598419,"RNA"
"Factor4",10,"ENSG00000121236",-0.626146256923676,0.626146256923676,"RNA"
"Factor4",11,"ENSG00000138646",-0.624981164932251,0.624981164932251,"RNA"
"Factor4",12,"ENSG00000177294",-0.624832510948181,0.624832510948181,"RNA"
"Factor4",13,"ENSG00000137757",-0.624642193317413,0.624642193317413,"RNA"
"Factor4",14,"ENSG00000157601",-0.623514294624329,0.623514294624329,"RNA"
"Factor4",15,"ENSG00000134321",-0.619330286979675,0.619330286979675,"RNA"
"Factor4",16,"ENSG00000111331",-0.617816507816315,0.617816507816315,"RNA"
"Factor4",17,"ENSG00000163568",-0.614627599716187,0.614627599716187,"RNA"
"Factor4",18,"ENSG00000089127",-0.613130450248718,0.613130450248718,"RNA"
"Factor4",19,"ENSG00000119922",-0.61171156167984,0.61171156167984,"RNA"
"Factor4",20,"ENSG00000181778",-0.610147058963776,0.610147058963776,"RNA"
"Factor5",1,"ENSG00000204936",-0.483365386724472,0.483365386724472,"RNA"
"Factor5",2,"ENSG00000115590",-0.478587836027145,0.478587836027145,"RNA"
"Factor5",3,"ENSG00000163958",-0.475788593292236,0.475788593292236,"RNA"
"Factor5",4,"ENSG00000162551",-0.469686985015869,0.469686985015869,"RNA"
"Factor5",5,"ENSG00000135424",-0.463760197162628,0.463760197162628,"RNA"
"Factor5",6,"ENSG00000186105",-0.437150239944458,0.437150239944458,"RNA"
"Factor5",7,"ENSG00000274173",-0.428124994039536,0.428124994039536,"RNA"
"Factor5",8,"ENSG00000197705",0.419967144727707,0.419967144727707,"RNA"
"Factor5",9,"ENSG00000156414",-0.418974548578262,0.418974548578262,"RNA"
"Factor5",10,"ENSG00000152463",-0.400118082761765,0.400118082761765,"RNA"
"Factor5",11,"ENSG00000048462",0.395350575447083,0.395350575447083,"RNA"
"Factor5",12,"ENSG00000287255",-0.394407957792282,0.394407957792282,"RNA"
"Factor5",13,"ENSG00000078401",-0.388891637325287,0.388891637325287,"RNA"
"Factor5",14,"ENSG00000122861",-0.388585984706879,0.388585984706879,"RNA"
"Factor5",15,"ENSG00000133328",0.387549102306366,0.387549102306366,"RNA"
"Factor5",16,"ENSG00000158089",-0.384816318750381,0.384816318750381,"RNA"
"Factor5",17,"ENSG00000269711",-0.382083863019943,0.382083863019943,"RNA"
"Factor5",18,"ENSG00000118520",-0.381793439388275,0.381793439388275,"RNA"
"Factor5",19,"ENSG00000197632",-0.375718981027603,0.375718981027603,"RNA"
"Factor5",20,"ENSG00000213413",0.372842937707901,0.372842937707901,"RNA"
"Factor6",1,"ENSG00000104918",0.0184888280928135,0.0184888280928135,"RNA"
"Factor6",2,"ENSG00000118113",0.0178619828075171,0.0178619828075171,"RNA"
"Factor6",3,"ENSG00000118520",0.0161783322691917,0.0161783322691917,"RNA"
"Factor6",4,"ENSG00000160932",-0.0152769135311246,0.0152769135311246,"RNA"
"Factor6",5,"ENSG00000288187",-0.0146353682503104,0.0146353682503104,"RNA"
"Factor6",6,"ENSG00000234948",-0.0144987786188722,0.0144987786188722,"RNA"
"Factor6",7,"ENSG00000211945",-0.0139113264158368,0.0139113264158368,"RNA"
"Factor6",8,"ENSG00000115604",0.0135909346863627,0.0135909346863627,"RNA"
"Factor6",9,"ENSG00000112299",0.0127328941598535,0.0127328941598535,"RNA"
"Factor6",10,"ENSG00000125740",0.0124421715736389,0.0124421715736389,"RNA"
"Factor6",11,"ENSG00000249173",0.0123311402276158,0.0123311402276158,"RNA"
"Factor6",12,"ENSG00000012223",0.0123102739453316,0.0123102739453316,"RNA"
"Factor6",13,"ENSG00000078401",0.0122802956029773,0.0122802956029773,"RNA"
"Factor6",14,"ENSG00000242550",0.0121684987097979,0.0121684987097979,"RNA"
"Factor6",15,"ENSG00000184897",-0.0120742935687304,0.0120742935687304,"RNA"
"Factor6",16,"ENSG00000241684",-0.0118644293397665,0.0118644293397665,"RNA"
"Factor6",17,"ENSG00000035720",0.0118368249386549,0.0118368249386549,"RNA"
"Factor6",18,"ENSG00000125510",-0.011740910820663,0.011740910820663,"RNA"
"Factor6",19,"ENSG00000182557",-0.0117337824776769,0.0117337824776769,"RNA"
"Factor6",20,"ENSG00000158856",-0.0116477822884917,0.0116477822884917,"RNA"
"Factor7",1,"ENSG00000170476",-0.732998609542847,0.732998609542847,"RNA"
"Factor7",2,"ENSG00000211896",-0.68430483341217,0.68430483341217,"RNA"
"Factor7",3,"ENSG00000211592",-0.665427565574646,0.665427565574646,"RNA"
"Factor7",4,"ENSG00000132465",-0.664732098579407,0.664732098579407,"RNA"
"Factor7",5,"ENSG00000211677",-0.660472512245178,0.660472512245178,"RNA"
"Factor7",6,"ENSG00000211895",-0.657213628292084,0.657213628292084,"RNA"
"Factor7",7,"ENSG00000254709",-0.640983581542969,0.640983581542969,"RNA"
"Factor7",8,"ENSG00000211897",-0.627926588058472,0.627926588058472,"RNA"
"Factor7",9,"ENSG00000211899",-0.62715220451355,0.62715220451355,"RNA"
"Factor7",10,"ENSG00000211673",-0.617643296718597,0.617643296718597,"RNA"
"Factor7",11,"ENSG00000211675",-0.616807043552399,0.616807043552399,"RNA"
"Factor7",12,"ENSG00000048462",-0.61633712053299,0.61633712053299,"RNA"
"Factor7",13,"ENSG00000211679",-0.61552619934082,0.61552619934082,"RNA"
"Factor7",14,"ENSG00000211933",-0.607379734516144,0.607379734516144,"RNA"
"Factor7",15,"ENSG00000211659",-0.598188400268555,0.598188400268555,"RNA"
"Factor7",16,"ENSG00000115884",-0.587845265865326,0.587845265865326,"RNA"
"Factor7",17,"ENSG00000211966",-0.579380691051483,0.579380691051483,"RNA"
"Factor7",18,"ENSG00000243466",-0.576224565505981,0.576224565505981,"RNA"
"Factor7",19,"ENSG00000211662",-0.575731515884399,0.575731515884399,"RNA"
"Factor7",20,"ENSG00000211962",-0.572853803634644,0.572853803634644,"RNA"
"Factor8",1,"ENSG00000211895",0.0484924912452698,0.0484924912452698,"RNA"
"Factor8",2,"ENSG00000254709",0.0455684214830399,0.0455684214830399,"RNA"
"Factor8",3,"ENSG00000161040",-0.0430867522954941,0.0430867522954941,"RNA"
"Factor8",4,"ENSG00000211675",0.0420570708811283,0.0420570708811283,"RNA"
"Factor8",5,"ENSG00000112299",-0.0420006141066551,0.0420006141066551,"RNA"
"Factor8",6,"ENSG00000118322",-0.0384239330887794,0.0384239330887794,"RNA"
"Factor8",7,"ENSG00000211679",0.0383243225514889,0.0383243225514889,"RNA"
"Factor8",8,"ENSG00000173391",-0.0357349254190922,0.0357349254190922,"RNA"
"Factor8",9,"ENSG00000169439",-0.035687018185854,0.035687018185854,"RNA"
"Factor8",10,"ENSG00000215533",-0.035384513437748,0.035384513437748,"RNA"
"Factor8",11,"ENSG00000288535",0.034642405807972,0.034642405807972,"RNA"
"Factor8",12,"ENSG00000164047",-0.0343964993953705,0.0343964993953705,"RNA"
"Factor8",13,"ENSG00000262074",0.0327886454761028,0.0327886454761028,"RNA"
"Factor8",14,"ENSG00000172322",-0.0325872302055359,0.0325872302055359,"RNA"
"Factor8",15,"ENSG00000256660",-0.0325337164103985,0.0325337164103985,"RNA"
"Factor8",16,"ENSG00000049247",-0.0323794595897198,0.0323794595897198,"RNA"
"Factor8",17,"ENSG00000167286",-0.0313677452504635,0.0313677452504635,"RNA"
"Factor8",18,"ENSG00000172461",-0.0312639102339745,0.0312639102339745,"RNA"
"Factor8",19,"ENSG00000132465",0.0311603378504515,0.0311603378504515,"RNA"
"Factor8",20,"ENSG00000261200",0.0310853905975819,0.0310853905975819,"RNA"
"Factor9",1,"ENSG00000165949",-0.492820531129837,0.492820531129837,"RNA"
"Factor9",2,"ENSG00000287771",0.454444766044617,0.454444766044617,"RNA"
"Factor9",3,"ENSG00000137959",-0.437717854976654,0.437717854976654,"RNA"
"Factor9",4,"ENSG00000106714",0.423795998096466,0.423795998096466,"RNA"
"Factor9",5,"ENSG00000088827",-0.406077206134796,0.406077206134796,"RNA"
"Factor9",6,"ENSG00000184979",-0.401767134666443,0.401767134666443,"RNA"
"Factor9",7,"ENSG00000169902",0.395901173353195,0.395901173353195,"RNA"
"Factor9",8,"ENSG00000137965",-0.394942611455917,0.394942611455917,"RNA"
"Factor9",9,"ENSG00000187608",-0.394180148839951,0.394180148839951,"RNA"
"Factor9",10,"ENSG00000115155",-0.391943842172623,0.391943842172623,"RNA"
"Factor9",11,"ENSG00000138642",-0.38765475153923,0.38765475153923,"RNA"
"Factor9",12,"ENSG00000160932",-0.385589420795441,0.385589420795441,"RNA"
"Factor9",13,"ENSG00000115590",0.384164988994598,0.384164988994598,"RNA"
"Factor9",14,"ENSG00000132470",0.381418079137802,0.381418079137802,"RNA"
"Factor9",15,"ENSG00000271454",0.381067872047424,0.381067872047424,"RNA"
"Factor9",16,"ENSG00000196141",-0.376465797424316,0.376465797424316,"RNA"
"Factor9",17,"ENSG00000126709",-0.374663770198822,0.374663770198822,"RNA"
"Factor9",18,"ENSG00000152463",0.373102188110352,0.373102188110352,"RNA"
"Factor9",19,"ENSG00000136999",0.370731174945831,0.370731174945831,"RNA"
"Factor9",20,"ENSG00000135519",0.364071667194366,0.364071667194366,"RNA"
"Factor10",1,"ENSG00000134827",-0.588509976863861,0.588509976863861,"RNA"
"Factor10",2,"ENSG00000065618",-0.482096880674362,0.482096880674362,"RNA"
"Factor10",3,"ENSG00000118113",-0.478088706731796,0.478088706731796,"RNA"
"Factor10",4,"ENSG00000173391",-0.473685055971146,0.473685055971146,"RNA"
"Factor10",5,"ENSG00000101425",-0.471687972545624,0.471687972545624,"RNA"
"Factor10",6,"ENSG00000149516",-0.46685266494751,0.46685266494751,"RNA"
"Factor10",7,"ENSG00000124469",-0.4644775390625,0.4644775390625,"RNA"
"Factor10",8,"ENSG00000096006",-0.462348520755768,0.462348520755768,"RNA"
"Factor10",9,"ENSG00000012223",-0.448254197835922,0.448254197835922,"RNA"
"Factor10",10,"ENSG00000158163",-0.447291344404221,0.447291344404221,"RNA"
"Factor10",11,"ENSG00000086548",-0.440741777420044,0.440741777420044,"RNA"
"Factor10",12,"ENSG00000242550",-0.427262306213379,0.427262306213379,"RNA"
"Factor10",13,"ENSG00000248385",-0.424495339393616,0.424495339393616,"RNA"
"Factor10",14,"ENSG00000283646",-0.413636744022369,0.413636744022369,"RNA"
"Factor10",15,"ENSG00000133063",-0.407262682914734,0.407262682914734,"RNA"
"Factor10",16,"ENSG00000163710",-0.407153934240341,0.407153934240341,"RNA"
"Factor10",17,"ENSG00000184292",-0.401617258787155,0.401617258787155,"RNA"
"Factor10",18,"ENSG00000179869",-0.401379525661469,0.401379525661469,"RNA"
"Factor10",19,"ENSG00000100448",-0.384617209434509,0.384617209434509,"RNA"
"Factor10",20,"ENSG00000164047",-0.380796700716019,0.380796700716019,"RNA"
"Factor11",1,"ENSG00000179869",-0.489195346832275,0.489195346832275,"RNA"
"Factor11",2,"ENSG00000148346",-0.442847311496735,0.442847311496735,"RNA"
"Factor11",3,"ENSG00000172232",-0.424166709184647,0.424166709184647,"RNA"
"Factor11",4,"ENSG00000122641",-0.408572763204575,0.408572763204575,"RNA"
"Factor11",5,"ENSG00000133169",-0.398551195859909,0.398551195859909,"RNA"
"Factor11",6,"ENSG00000182050",-0.398336738348007,0.398336738348007,"RNA"
"Factor11",7,"ENSG00000164821",-0.396398365497589,0.396398365497589,"RNA"
"Factor11",8,"ENSG00000272398",-0.396000623703003,0.396000623703003,"RNA"
"Factor11",9,"ENSG00000286653",-0.395514458417892,0.395514458417892,"RNA"
"Factor11",10,"ENSG00000288535",-0.39055547118187,0.39055547118187,"RNA"
"Factor11",11,"ENSG00000169397",-0.390447616577148,0.390447616577148,"RNA"
"Factor11",12,"ENSG00000197561",-0.385104447603226,0.385104447603226,"RNA"
"Factor11",13,"ENSG00000100448",-0.379243612289429,0.379243612289429,"RNA"
"Factor11",14,"ENSG00000240247",-0.367256134748459,0.367256134748459,"RNA"
"Factor11",15,"ENSG00000224940",-0.367120653390884,0.367120653390884,"RNA"
"Factor11",16,"ENSG00000160180",-0.359326153993607,0.359326153993607,"RNA"
"Factor11",17,"ENSG00000012223",-0.3562031686306,0.3562031686306,"RNA"
"Factor11",18,"ENSG00000196415",-0.354808330535889,0.354808330535889,"RNA"
"Factor11",19,"ENSG00000188738",-0.353797346353531,0.353797346353531,"RNA"
"Factor11",20,"ENSG00000172216",-0.35346332192421,0.35346332192421,"RNA"
"Factor12",1,"ENSG00000172216",-0.551541984081268,0.551541984081268,"RNA"
"Factor12",2,"ENSG00000105048",-0.526612460613251,0.526612460613251,"RNA"
"Factor12",3,"ENSG00000267007",-0.511473059654236,0.511473059654236,"RNA"
"Factor12",4,"ENSG00000244491",-0.504514098167419,0.504514098167419,"RNA"
"Factor12",5,"ENSG00000271787",-0.497796952724457,0.497796952724457,"RNA"
"Factor12",6,"ENSG00000279423",-0.495540887117386,0.495540887117386,"RNA"
"Factor12",7,"ENSG00000267601",-0.491603136062622,0.491603136062622,"RNA"
"Factor12",8,"ENSG00000130522",-0.489679485559464,0.489679485559464,"RNA"
"Factor12",9,"ENSG00000250479",-0.488660871982574,0.488660871982574,"RNA"
"Factor12",10,"ENSG00000143443",-0.485830694437027,0.485830694437027,"RNA"
"Factor12",11,"ENSG00000163737",-0.457129269838333,0.457129269838333,"RNA"
"Factor12",12,"ENSG00000142694",-0.45147517323494,0.45147517323494,"RNA"
"Factor12",13,"ENSG00000089692",-0.448475033044815,0.448475033044815,"RNA"
"Factor12",14,"ENSG00000243449",-0.445216983556747,0.445216983556747,"RNA"
"Factor12",15,"ENSG00000232133",0.442741394042969,0.442741394042969,"RNA"
"Factor12",16,"ENSG00000254501",-0.439348727464676,0.439348727464676,"RNA"
"Factor12",17,"ENSG00000228830",-0.438035547733307,0.438035547733307,"RNA"
"Factor12",18,"ENSG00000117691",-0.437166571617126,0.437166571617126,"RNA"
"Factor12",19,"ENSG00000099624",-0.427020281553268,0.427020281553268,"RNA"
"Factor12",20,"ENSG00000272273",-0.421042561531067,0.421042561531067,"RNA"
"Factor13",1,"ENSG00000179593",0.152623146772385,0.152623146772385,"RNA"
"Factor13",2,"ENSG00000122025",0.150397211313248,0.150397211313248,"RNA"
"Factor13",3,"ENSG00000189221",0.134671553969383,0.134671553969383,"RNA"
"Factor13",4,"ENSG00000087116",0.128412291407585,0.128412291407585,"RNA"
"Factor13",5,"ENSG00000146122",0.122094467282295,0.122094467282295,"RNA"
"Factor13",6,"ENSG00000152463",0.122083373367786,0.122083373367786,"RNA"
"Factor13",7,"ENSG00000161905",-0.118426866829395,0.118426866829395,"RNA"
"Factor13",8,"ENSG00000169902",0.117731317877769,0.117731317877769,"RNA"
"Factor13",9,"ENSG00000168916",0.116595596075058,0.116595596075058,"RNA"
"Factor13",10,"ENSG00000115590",0.106707125902176,0.106707125902176,"RNA"
"Factor13",11,"ENSG00000169174",0.105806142091751,0.105806142091751,"RNA"
"Factor13",12,"ENSG00000118520",0.105018615722656,0.105018615722656,"RNA"
"Factor13",13,"ENSG00000103355",-0.097932294011116,0.097932294011116,"RNA"
"Factor13",14,"ENSG00000105366",-0.0968125686049461,0.0968125686049461,"RNA"
"Factor13",15,"ENSG00000164105",0.09569001942873,0.09569001942873,"RNA"
"Factor13",16,"ENSG00000121933",0.0945262312889099,0.0945262312889099,"RNA"
"Factor13",17,"ENSG00000287458",0.0920766741037369,0.0920766741037369,"RNA"
"Factor13",18,"ENSG00000137801",0.0899702683091164,0.0899702683091164,"RNA"
"Factor13",19,"ENSG00000115604",0.0875895619392395,0.0875895619392395,"RNA"
"Factor13",20,"ENSG00000250696",-0.0841976925730705,0.0841976925730705,"RNA"
"Factor14",1,"ENSG00000135218",-0.469927549362183,0.469927549362183,"RNA"
"Factor14",2,"ENSG00000286030",-0.460061132907867,0.460061132907867,"RNA"
"Factor14",3,"ENSG00000101162",-0.453016579151154,0.453016579151154,"RNA"
"Factor14",4,"ENSG00000090104",-0.449880629777908,0.449880629777908,"RNA"
"Factor14",5,"ENSG00000158856",-0.443902134895325,0.443902134895325,"RNA"
"Factor14",6,"ENSG00000197635",-0.442783266305923,0.442783266305923,"RNA"
"Factor14",7,"ENSG00000102245",-0.437613099813461,0.437613099813461,"RNA"
"Factor14",8,"ENSG00000184613",-0.431888043880463,0.431888043880463,"RNA"
"Factor14",9,"ENSG00000257315",-0.410609602928162,0.410609602928162,"RNA"
"Factor14",10,"ENSG00000284671",-0.406838625669479,0.406838625669479,"RNA"
"Factor14",11,"ENSG00000288632",-0.406230688095093,0.406230688095093,"RNA"
"Factor14",12,"ENSG00000152969",-0.397463858127594,0.397463858127594,"RNA"
"Factor14",13,"ENSG00000257524",-0.396532416343689,0.396532416343689,"RNA"
"Factor14",14,"ENSG00000213413",-0.388481497764587,0.388481497764587,"RNA"
"Factor14",15,"ENSG00000236973",-0.379431158304214,0.379431158304214,"RNA"
"Factor14",16,"ENSG00000249240",-0.379095733165741,0.379095733165741,"RNA"
"Factor14",17,"ENSG00000183542",-0.371331304311752,0.371331304311752,"RNA"
"Factor14",18,"ENSG00000211746",-0.367567598819733,0.367567598819733,"RNA"
"Factor14",19,"ENSG00000130684",-0.367230117321014,0.367230117321014,"RNA"
"Factor14",20,"ENSG00000138722",-0.365605682134628,0.365605682134628,"RNA"
"Factor15",1,"ENSG00000114374",0.828091979026794,0.828091979026794,"RNA"
"Factor15",2,"ENSG00000012817",0.823311328887939,0.823311328887939,"RNA"
"Factor15",3,"ENSG00000099725",0.820562183856964,0.820562183856964,"RNA"
"Factor15",4,"ENSG00000131002",0.820175528526306,0.820175528526306,"RNA"
"Factor15",5,"ENSG00000129824",0.819672226905823,0.819672226905823,"RNA"
"Factor15",6,"ENSG00000067048",0.815601825714111,0.815601825714111,"RNA"
"Factor15",7,"ENSG00000183878",0.814817428588867,0.814817428588867,"RNA"
"Factor15",8,"ENSG00000198692",0.805880546569824,0.805880546569824,"RNA"
"Factor15",9,"ENSG00000067646",0.802513241767883,0.802513241767883,"RNA"
"Factor15",10,"ENSG00000231535",0.799180448055267,0.799180448055267,"RNA"
"Factor15",11,"ENSG00000229807",-0.796087145805359,0.796087145805359,"RNA"
"Factor15",12,"ENSG00000288621",0.780003011226654,0.780003011226654,"RNA"
"Factor15",13,"ENSG00000176728",0.760701954364777,0.760701954364777,"RNA"
"Factor15",14,"ENSG00000215580",0.735199272632599,0.735199272632599,"RNA"
"Factor15",15,"ENSG00000260197",0.684150457382202,0.684150457382202,"RNA"
"Factor15",16,"ENSG00000229236",0.682847559452057,0.682847559452057,"RNA"
"Factor15",17,"ENSG00000089472",-0.629582941532135,0.629582941532135,"RNA"
"Factor15",18,"ENSG00000237294",-0.550297796726227,0.550297796726227,"RNA"
"Factor15",19,"ENSG00000270641",-0.544965028762817,0.544965028762817,"RNA"
"Factor15",20,"ENSG00000286217",0.470355421304703,0.470355421304703,"RNA"
